entry_date,exit_date,entry_price,exit_price,stop_loss,take_profit,return_pct,exit_reason,holding_days,symbol,return_pct_net
2017-05-31,2017-06-27,12669.4501953125,12361.669679328133,11655.8941796875,17737.230273437497,-0.024293123319450792,trailing_stop,27,3MINDIA,-0.02689312331945079
2019-03-20,2019-04-30,21465.09375,20966.7490057971,19747.88625,30051.13125,-0.023216518409238215,trailing_stop,41,3MINDIA,-0.025816518409238216
2020-02-10,2020-02-11,22584.400390625,20777.648359375,20777.648359375,31618.160546875,-0.07999999999999992,stop_loss,1,3MINDIA,-0.08259999999999992
2020-08-27,2020-09-07,19230.36328125,17727.857779575366,17691.93421875,26922.508593749997,-0.07813193540340486,trailing_stop,11,3MINDIA,-0.08073193540340487
2020-11-27,2020-12-22,20024.40234375,19120.65778444687,18422.45015625,28034.16328125,-0.045132161439275405,trailing_stop,25,3MINDIA,-0.0477321614392754
2022-08-29,2022-10-27,21265.046875,20776.41041092358,19563.843125,29771.065625,-0.02297838640792644,trailing_stop,59,3MINDIA,-0.025578386407926437
2024-06-21,2024-08-14,36153.8515625,35447.56193330171,33261.543437500004,50615.392187499994,-0.01953566767228967,trailing_stop,54,3MINDIA,-0.022135667672289673
2025-08-13,2025-11-04,30059.666015625,32363.302271143933,27654.892734375,42083.532421874996,0.0766354574372684,trailing_stop,83,3MINDIA,0.0740354574372684
2017-03-15,2017-05-09,1041.77734375,1238.4719998651856,958.4351562500001,1458.48828125,0.18880680914710626,trailing_stop,55,ABB,0.18620680914710627
2018-01-24,2018-02-06,1439.8419189453125,1359.226690527467,1324.6545654296876,2015.7786865234373,-0.05598894389524111,trailing_stop,13,ABB,-0.05858894389524111
2019-04-15,2019-05-10,1233.3255615234375,1189.5375608762536,1134.6595166015625,1726.6557861328124,-0.03550400803587967,trailing_stop,25,ABB,-0.03810400803587967
2019-10-07,2019-11-13,1274.619140625,1236.5742218819144,1172.649609375,1784.466796875,-0.029848067968311385,trailing_stop,37,ABB,-0.032448067968311387
2020-12-01,2021-02-19,1095.9007568359375,1534.2610595703125,1008.2286962890626,1534.2610595703125,0.39999999999999997,take_profit,80,ABB,0.3974
2026-03-05,2026-05-07,5836.14453125,6929.990548890681,5369.25296875,8170.60234375,0.18742613583053228,trailing_stop,63,ABB,0.18482613583053228
2017-05-12,2017-06-28,1532.7813720703125,1428.8985348810277,1410.1588623046875,2145.8939208984375,-0.06777407338201881,trailing_stop,47,ACC,-0.07037407338201881
2018-09-28,2018-10-11,1440.854248046875,1327.9277379111988,1325.585908203125,2017.195947265625,-0.07837469354638175,trailing_stop,13,ACC,-0.08097469354638176
2019-03-28,2019-05-15,1515.927001953125,1453.3895163413301,1394.652841796875,2122.2978027343747,-0.041253626019736686,trailing_stop,48,ACC,-0.043853626019736684
2020-08-13,2020-09-07,1323.0614013671875,1232.9786659396939,1217.2164892578126,1852.2859619140625,-0.06808658716398686,trailing_stop,25,ACC,-0.07068658716398686
2022-08-24,2022-09-22,2261.174560546875,2462.4222260086135,2080.280595703125,3165.6443847656246,0.08900138404753054,trailing_stop,29,ACC,0.08640138404753053
2023-09-22,2023-11-01,1953.634521484375,1827.9887767231673,1797.343759765625,2735.0883300781247,-0.06431384344382991,trailing_stop,40,ACC,-0.06691384344382992
2017-12-14,2018-01-01,1517.0987548828125,1466.4240494179255,1395.7308544921875,2123.9382568359374,-0.03340237759855081,trailing_stop,18,AIAENG,-0.03600237759855081
2018-05-24,2018-06-28,1495.14599609375,1402.4290165155435,1375.5343164062501,2093.20439453125,-0.06201199068214131,trailing_stop,35,AIAENG,-0.06461199068214131
2020-02-13,2020-02-27,1770.8297119140625,1699.3549606070928,1629.1633349609376,2479.161596679687,-0.040362295045136616,trailing_stop,14,AIAENG,-0.042962295045136614
2020-07-08,2020-08-11,1611.5810546875,1564.2851591893773,1482.6545703125,2256.2134765624996,-0.02934751271774774,trailing_stop,34,AIAENG,-0.03194751271774774
2022-06-08,2022-09-28,2134.403076171875,2420.036523437082,1963.6508300781252,2988.164306640625,0.1338235736510933,trailing_stop,112,AIAENG,0.1312235736510933
2025-11-20,2026-01-20,3839.60009765625,3751.83017578125,3532.43208984375,5375.440136718749,-0.022859131066429547,trailing_stop,61,AIAENG,-0.025459131066429545
2019-05-02,2019-05-10,150.2837677001953,140.4977129152381,138.2610662841797,210.39727478027342,-0.0651171775549282,trailing_stop,8,APLAPOLLO,-0.0677171775549282
2019-11-22,2020-01-27,153.40139770507812,214.76195678710937,141.1292858886719,214.76195678710937,0.39999999999999997,take_profit,66,APLAPOLLO,0.3974
2020-07-23,2020-09-14,182.78553771972656,248.55813939211805,168.16269470214846,255.89975280761718,0.35983482332854816,trailing_stop,53,APLAPOLLO,0.35723482332854817
2022-08-23,2022-08-29,1036.879638671875,953.9292675781251,953.9292675781251,1451.631494140625,-0.07999999999999993,stop_loss,6,APLAPOLLO,-0.08259999999999994
2024-06-12,2024-07-15,1569.32373046875,1500.0822240312755,1443.77783203125,2197.05322265625,-0.044121875616315566,trailing_stop,33,APLAPOLLO,-0.046721875616315564
2025-05-05,2025-06-30,1612.67138671875,1736.33970849376,1483.65767578125,2257.7399414062497,0.07668538227532766,trailing_stop,56,APLAPOLLO,0.07408538227532765
2019-05-24,2019-07-08,338.5445251464844,321.26730627994885,311.4609631347656,473.9623352050781,-0.05103381559356148,trailing_stop,45,AUBANK,-0.05363381559356148
2020-10-26,2020-11-26,383.9302673339844,422.9470691610062,353.2158459472656,537.5023742675781,0.10162470934619165,trailing_stop,31,AUBANK,0.09902470934619165
2022-09-16,2022-09-26,655.2998046875,611.9315225537639,602.8758203125001,917.4197265624999,-0.0661808256671427,trailing_stop,10,AUBANK,-0.0687808256671427
2022-12-21,2023-01-11,666.6914672851562,613.3561499023438,613.3561499023438,933.3680541992187,-0.07999999999999999,stop_loss,21,AUBANK,-0.08259999999999999
2023-05-16,2023-08-02,725.1924438476562,711.8606500012278,667.1770483398437,1015.2694213867187,-0.018383801375113508,trailing_stop,78,AUBANK,-0.020983801375113506
2024-09-20,2024-10-18,729.6906127929688,677.9148414415966,671.3153637695312,1021.5668579101562,-0.07095578652601107,trailing_stop,28,AUBANK,-0.07355578652601108
2025-05-28,2025-07-21,704.8953247070312,755.2342925382032,648.5036987304687,986.8534545898436,0.0714133943959607,trailing_stop,54,AUBANK,0.0688133943959607
2023-10-13,2023-10-26,1656.199951171875,1532.7,1523.703955078125,2318.679931640625,-0.07456826157040415,trailing_stop,13,AAVAS,-0.07716826157040416
2025-03-25,2025-04-07,1957.050048828125,1925.1000000000001,1800.4860449218752,2739.8700683593747,-0.01632561663267449,trailing_stop,13,AAVAS,-0.01892561663267449
2021-10-21,2021-11-30,1198.949951171875,1286.1000000000001,1103.033955078125,1678.529931640625,0.07268864621324946,trailing_stop,40,ADANIGREEN,0.07008864621324945
2025-09-23,2025-09-26,1131.449951171875,1059.5700439453126,1040.933955078125,1584.029931640625,-0.06352902057409993,trailing_stop,3,ADANIGREEN,-0.06612902057409993
2026-05-06,2026-05-18,1353.0,1323.9,1244.76,1894.1999999999998,-0.02150776053215071,trailing_stop,12,ADANIGREEN,-0.02410776053215071
2016-08-26,2016-09-30,244.21157836914062,236.8482784638866,224.67465209960938,341.8962097167969,-0.03015131368638038,trailing_stop,35,ADANIPORTS,-0.03275131368638038
2019-01-18,2019-01-28,381.5609130859375,351.0360400390625,351.0360400390625,534.1852783203125,-0.07999999999999993,stop_loss,10,ADANIPORTS,-0.08259999999999994
2019-04-26,2019-05-15,374.3463134765625,344.3986083984375,344.3986083984375,524.0848388671875,-0.08000000000000003,stop_loss,19,ADANIPORTS,-0.08260000000000003
2019-10-18,2019-11-01,403.17779541015625,370.92357177734374,370.92357177734374,564.4489135742188,-0.08000000000000003,stop_loss,14,ADANIPORTS,-0.08260000000000003
2020-08-21,2020-09-09,342.5301208496094,329.1566145363538,315.1277111816406,479.5421691894531,-0.03904330013396784,trailing_stop,19,ADANIPORTS,-0.04164330013396784
2022-01-14,2022-01-21,759.3615112304688,698.6125903320312,698.6125903320312,1063.106115722656,-0.08000000000000003,stop_loss,7,ADANIPORTS,-0.08260000000000003
2022-04-06,2022-05-04,827.2572021484375,810.0618439173702,761.0766259765626,1158.1600830078123,-0.02078598794475274,trailing_stop,28,ADANIPORTS,-0.02338598794475274
2022-08-25,2022-09-26,799.8096923828125,871.4250378081583,735.8249169921876,1119.7335693359373,0.0895404820764145,trailing_stop,32,ADANIPORTS,0.0869404820764145
2023-08-01,2023-09-01,755.207763671875,771.7358731505883,694.791142578125,1057.2908691406249,0.021885513197523864,trailing_stop,31,ADANIPORTS,0.019285513197523863
2025-06-03,2025-06-19,1419.383544921875,1332.4743582943286,1305.832861328125,1987.1369628906248,-0.06123023402552553,trailing_stop,16,ADANIPORTS,-0.06383023402552553
2017-01-13,2017-01-20,7.230000019073486,7.028999948501587,6.651600017547608,10.12200002670288,-0.027800839563159076,trailing_stop,7,ADANIPOWER,-0.030400839563159074
2017-12-07,2017-12-18,6.960000038146973,6.606000137329102,6.403200035095215,9.744000053405761,-0.05086205443644217,trailing_stop,11,ADANIPOWER,-0.05346205443644217
2018-09-19,2018-09-21,5.860000133514404,5.4,5.3912001228332525,8.204000186920165,-0.07849831451087853,trailing_stop,2,ADANIPOWER,-0.08109831451087854
2020-12-02,2020-12-03,9.029999732971191,9.74699993133545,8.307599754333497,12.641999626159667,0.07940201767075139,trailing_stop,1,ADANIPOWER,0.07680201767075139
2023-08-02,2023-08-18,53.540000915527344,57.89700164794922,49.25680084228516,74.95600128173828,0.08137842095475727,trailing_stop,16,ADANIPOWER,0.07877842095475726
2019-12-31,2020-01-27,102.69999694824219,103.81499862670898,94.48399719238282,143.77999572753905,0.010856881320344394,trailing_stop,27,ABCAPITAL,0.008256881320344394
2020-10-26,2020-12-01,66.0999984741211,92.53999786376953,60.81199859619141,92.53999786376953,0.39999999999999997,take_profit,36,ABCAPITAL,0.3974
2022-01-12,2022-01-21,134.25,123.51,123.51,187.95,-0.07999999999999996,stop_loss,9,ABCAPITAL,-0.08259999999999997
2024-03-11,2024-03-13,179.85000610351562,171.27000274658204,165.46200561523438,251.79000854492185,-0.047706439064534846,trailing_stop,2,ABCAPITAL,-0.050306439064534844
2025-05-29,2025-07-28,221.27000427246094,254.38499450683594,203.56840393066406,309.7780059814453,0.1496587408820169,trailing_stop,60,ABCAPITAL,0.1470587408820169
2017-02-28,2017-03-08,155.6924591064453,144.9581039428711,143.2370623779297,217.96944274902341,-0.06894589002692314,trailing_stop,8,ABFRL,-0.07154589002692315
2018-08-27,2018-09-05,206.8506622314453,191.3997024536133,190.3026092529297,289.59092712402344,-0.07469620648612639,trailing_stop,9,ABFRL,-0.0772962064861264
2019-12-03,2020-02-03,217.49630737304688,221.51799316406252,200.09660278320314,304.4948303222656,0.018490823313692853,trailing_stop,62,ABFRL,0.015890823313692855
2020-12-02,2020-12-21,164.0500030517578,151.20000000000002,150.92600280761718,229.67000427246091,-0.07832979465232692,trailing_stop,19,ABFRL,-0.08092979465232693
2022-09-09,2022-11-07,324.95001220703125,323.55,298.9540112304688,454.9300170898437,-0.004308392535585648,trailing_stop,59,ABFRL,-0.006908392535585648
2019-05-28,2019-06-10,198.48756408691406,189.41942168357133,182.60855895996096,277.88258972167966,-0.04568619925917354,trailing_stop,13,ADVENZYMES,-0.04828619925917354
2020-02-11,2020-02-17,163.16250610351562,152.17382180622496,150.10950561523438,228.42750854492186,-0.06734809705802802,trailing_stop,6,ADVENZYMES,-0.06994809705802803
2020-07-08,2020-08-03,159.498046875,190.7328791671604,146.738203125,223.297265625,0.19583206756531266,trailing_stop,26,ADVENZYMES,0.19323206756531267
