Symbol,Total Return %,CAGR %,Max Drawdown %,Sharpe,Win Rate %,Trades,Profit Factor
CHENNPETRO,504.76,19.73,49.95,0.5,75.0,4,7.92
ASTRAZEN,496.9,19.58,33.8,0.5,60.0,5,24.89
BRIGADE,481.58,19.27,52.68,0.51,66.67,6,13.05
IPCALAB,471.63,19.06,26.97,0.55,60.0,5,12.0
VMART,465.02,18.92,61.94,0.48,30.0,10,6.6
NLCINDIA,453.79,18.68,47.41,0.48,50.0,4,14.79
LINDEINDIA,452.77,18.66,56.08,0.48,33.33,6,9.78
PFC,441.0,18.4,45.16,0.5,50.0,4,22.16
SIEMENS,437.1,18.32,40.36,0.54,60.0,5,23.39
HUDCO,437.01,20.0,45.43,0.52,40.0,5,13.25
GLENMARK,430.5,18.17,35.43,0.52,75.0,4,212.69
NAUKRI,429.36,18.15,44.99,0.48,100.0,4,999.99
NH,428.22,18.12,40.1,0.5,50.0,6,24.97
CHAMBLFERT,422.59,18.0,56.39,0.46,60.0,5,10.25
BHEL,419.09,17.92,59.41,0.46,30.0,10,5.26
PHOENIXLTD,411.54,17.74,47.65,0.46,75.0,4,14.56
SOUTHBANK,401.69,17.51,41.04,0.46,60.0,5,17.05
JKCEMENT,400.19,17.48,42.56,0.5,100.0,4,999.99
NCC,397.94,17.43,56.96,0.45,50.0,4,8.86
GODREJPROP,381.76,17.04,52.09,0.44,60.0,5,11.2
INDIANB,381.42,17.03,65.59,0.44,28.57,7,9.73
BDL,380.4,20.61,42.21,0.52,50.0,4,66.96
ZENSARTECH,380.31,17.0,45.3,0.44,60.0,5,9.19
JSWENERGY,377.39,16.93,50.11,0.44,37.5,8,7.44
TATAPOWER,374.68,16.87,35.79,0.48,28.57,7,9.14
HINDCOPPER,365.89,16.65,72.9,0.41,40.0,5,3.87
GNFC,357.61,16.44,40.24,0.45,100.0,2,999.99
WOCKPHARMA,350.62,16.26,69.67,0.41,50.0,4,9.4
REDINGTON,347.45,16.18,57.31,0.4,71.43,7,5.53
TORNTPHARM,341.52,16.02,26.26,0.47,80.0,5,38.37
PERSISTENT,340.33,15.99,55.24,0.43,33.33,6,6.18
JINDALSTEL,337.7,15.92,73.46,0.4,57.14,7,4.63
APLAPOLLO,333.46,15.81,49.32,0.42,42.86,7,9.02
MAHABANK,331.37,15.75,47.14,0.4,50.0,4,5.83
TRIDENT,330.34,15.72,69.54,0.4,42.86,7,8.18
IOB,328.62,15.68,39.28,0.39,50.0,4,14.49
TITAN,315.8,15.33,46.14,0.43,57.14,7,3.96
SJVN,308.86,15.13,45.07,0.39,75.0,4,13.27
BASF,308.26,15.12,43.65,0.41,66.67,3,14.72
ELGIEQUIP,307.87,15.1,38.45,0.39,33.33,6,8.59
CYIENT,305.53,15.04,49.68,0.41,80.0,5,7.75
UNIONBANK,297.25,14.8,52.12,0.38,57.14,7,6.29
RAYMOND,294.5,14.72,44.34,0.38,33.33,3,14.2
TIINDIA,294.28,16.95,54.18,0.43,60.0,5,10.36
COCHINSHIP,286.01,16.21,63.1,0.41,60.0,5,10.53
TATAINVEST,285.44,14.46,44.57,0.37,42.86,7,5.62
HSCL,284.3,14.42,54.66,0.38,44.44,9,5.88
BHARTIARTL,280.32,14.3,36.81,0.39,80.0,5,75.57
EXIDEIND,272.8,14.07,32.74,0.43,75.0,4,13.78
PTC,270.83,14.01,37.35,0.37,50.0,4,7.22
TRITURBINE,266.83,13.89,44.9,0.35,60.0,5,8.32
COALINDIA,265.27,13.84,38.91,0.39,50.0,4,11.69
SONATSOFTW,264.39,13.81,64.39,0.35,66.67,6,5.75
JISLJALEQS,262.35,13.75,49.3,0.35,60.0,5,7.91
APOLLOHOSP,257.62,13.6,39.42,0.36,71.43,7,6.43
PRESTIGE,254.62,13.5,61.67,0.35,50.0,6,6.26
OFSS,253.9,13.48,45.6,0.37,57.14,7,7.68
HINDZINC,253.0,13.45,42.42,0.34,57.14,7,10.55
IRCON,250.76,17.32,47.72,0.43,20.0,5,10.9
GRASIM,244.85,13.19,35.95,0.38,50.0,6,6.61
INDIGO,237.88,12.96,32.38,0.34,71.43,7,20.54
GRANULES,236.12,12.9,42.22,0.33,42.86,7,3.81
INTELLECT,235.69,12.88,56.54,0.33,50.0,6,5.26
SRF,232.62,12.78,49.71,0.33,28.57,7,9.47
WELCORP,231.22,12.73,83.72,0.33,57.14,7,3.14
BANKBARODA,230.52,12.71,35.71,0.33,50.0,4,14.25
FEDERALBNK,229.1,12.66,26.15,0.34,75.0,4,11.05
M&M,226.86,12.58,36.42,0.34,71.43,7,10.75
BAJAJCON,222.73,12.44,26.41,0.32,50.0,6,2.91
KTKBANK,215.4,12.18,42.2,0.31,20.0,5,5.76
TVSMOTOR,213.49,12.11,46.43,0.32,75.0,4,7.87
MAHSEAMLES,212.58,12.08,49.76,0.31,40.0,5,14.9
RPOWER,212.2,12.07,64.01,0.31,40.0,5,4.69
TEAMLEASE,212.12,12.06,50.39,0.3,50.0,6,6.75
APOLLOTYRE,211.22,12.03,37.46,0.31,75.0,4,12.51
VEDL,211.01,12.02,65.52,0.36,50.0,4,10.72
KIOCL,210.34,12.41,48.97,0.31,50.0,4,9.66
ASTERDM,209.03,14.3,52.96,0.37,80.0,5,6.74
RELAXO,208.94,11.95,39.13,0.32,60.0,5,10.01
BHARATFORG,204.24,11.78,64.64,0.3,66.67,6,2.78
HAVELLS,201.39,11.67,42.51,0.3,75.0,4,9.76
BAJFINANCE,201.32,11.67,60.44,0.29,57.14,7,5.69
COROMANDEL,200.61,11.64,24.53,0.3,57.14,7,7.54
NBCC,196.17,11.48,48.86,0.28,40.0,5,5.38
VINATIORGA,193.81,11.39,36.09,0.28,40.0,5,7.94
BANKINDIA,193.73,11.39,54.15,0.28,83.33,6,9.39
EIHOTEL,190.98,11.28,36.59,0.28,66.67,6,7.62
FINCABLES,189.21,11.21,39.38,0.28,66.67,3,7.03
MINDACORP,189.02,11.21,62.43,0.28,42.86,7,3.72
AVANTIFEED,187.29,11.14,76.27,0.28,33.33,9,4.67
LTTS,185.96,11.23,46.79,0.28,33.33,9,3.7
RCF,185.5,11.07,38.42,0.27,50.0,6,8.74
LT,184.84,11.04,31.7,0.28,50.0,8,6.93
BBTC,182.27,10.94,67.13,0.27,25.0,8,4.36
BAJAJ-AUTO,180.15,10.86,52.84,0.28,66.67,6,4.27
CANBK,179.17,10.82,40.13,0.26,60.0,5,5.75
POWERGRID,179.01,10.81,32.06,0.28,50.0,4,9.46
NTPC,178.25,10.78,41.49,0.27,28.57,7,8.64
JUBLFOOD,178.24,10.78,54.4,0.26,42.86,7,5.05
LALPATHLAB,175.8,10.69,53.55,0.26,42.86,7,5.17
LUPIN,175.56,10.68,29.26,0.27,40.0,5,8.4
THERMAX,175.42,10.67,43.33,0.26,50.0,6,7.2
J&KBANK,173.89,10.61,49.68,0.26,50.0,4,4.35
TORNTPOWER,173.45,10.59,39.46,0.26,50.0,8,5.0
BAJAJHLDNG,172.88,10.57,36.2,0.25,80.0,5,7.85
NHPC,171.97,10.53,44.73,0.25,14.29,7,7.3
ASTRAL,167.7,10.36,49.52,0.25,62.5,8,4.83
SUNDARMFIN,164.52,10.22,37.48,0.24,50.0,6,4.92
IOC,163.96,10.2,30.02,0.25,75.0,4,7.52
ASHOKA,159.2,10.0,47.06,0.24,50.0,6,5.4
HINDALCO,158.34,9.96,50.55,0.23,40.0,5,3.21
GESHIP,154.21,9.79,70.4,0.24,33.33,9,3.01
GODREJIND,151.9,9.69,35.33,0.22,50.0,4,5.57
PIDILITIND,151.03,9.65,44.32,0.22,50.0,8,4.33
SUDARSCHEM,148.73,9.55,40.85,0.23,40.0,5,8.08
CARERATING,147.45,9.49,41.44,0.21,60.0,5,7.62
LUXIND,146.13,9.43,52.6,0.22,60.0,5,4.72
SAIL,146.05,9.43,74.63,0.23,40.0,5,3.71
VRLLOG,145.1,9.39,44.31,0.21,33.33,6,6.38
MRPL,144.88,9.38,55.25,0.22,60.0,5,5.88
MFSL,144.47,9.36,52.32,0.21,60.0,5,7.48
KPRMILL,142.5,9.27,54.63,0.21,40.0,5,5.44
TCS,140.12,9.16,28.37,0.2,60.0,5,8.37
IFCI,139.61,9.14,65.8,0.25,33.33,6,3.59
PAGEIND,139.02,9.11,53.62,0.2,50.0,6,4.2
SHILPAMED,138.26,9.08,52.39,0.21,40.0,5,2.92
OBEROIRLTY,137.11,9.02,40.03,0.2,50.0,8,4.78
CHOLAFIN,136.86,9.01,68.85,0.22,40.0,5,5.74
PRAJIND,136.39,8.99,48.99,0.22,33.33,6,5.57
GSFC,135.63,8.96,43.01,0.2,66.67,3,11.79
RBLBANK,135.36,9.0,53.54,0.2,50.0,4,2.37
ICICIBANK,132.52,8.81,48.31,0.18,50.0,4,25.07
PFIZER,130.59,8.72,33.96,0.18,33.33,6,5.45
WIPRO,130.3,8.71,42.04,0.17,80.0,5,6.38
HINDPETRO,130.22,8.7,42.04,0.19,75.0,4,8.95
VOLTAS,129.94,8.69,41.11,0.18,60.0,5,4.77
DCMSHRIRAM,128.1,8.6,39.6,0.2,62.5,8,5.97
DLF,128.06,8.6,62.03,0.2,42.86,7,3.24
MRF,126.0,8.5,33.9,0.17,71.43,7,23.54
FORTIS,125.52,8.48,57.59,0.18,22.22,9,3.48
SUPREMEIND,124.76,8.44,42.68,0.18,50.0,6,3.79
SPTL,124.63,10.96,64.38,0.27,100.0,1,999.99
AUROPHARMA,123.95,8.4,37.0,0.17,40.0,5,4.0
GRINDWELL,120.86,8.25,53.47,0.17,28.57,7,3.38
GHCL,118.86,8.15,46.55,0.17,33.33,6,5.32
JKTYRE,117.45,8.08,74.47,0.19,50.0,8,2.99
ERIS,116.25,8.84,33.12,0.18,60.0,5,4.77
BLUESTARCO,116.09,8.02,52.77,0.16,33.33,6,4.39
ALKEM,114.36,7.93,25.37,0.14,66.67,6,7.2
PNCINFRA,113.69,7.9,45.19,0.17,60.0,5,5.26
GAYAPROJ,112.75,7.85,60.16,0.17,37.5,8,0.97
SCI,111.79,7.8,57.49,0.21,40.0,5,2.45
SUNPHARMA,111.68,7.79,48.57,0.13,40.0,5,3.42
HERITGFOOD,109.7,7.69,43.21,0.15,50.0,4,5.53
ONGC,109.67,7.69,51.19,0.14,66.67,6,3.98
IEX,107.73,8.67,61.7,0.2,33.33,6,4.67
DBL,106.78,7.55,35.96,0.15,50.0,4,5.85
THYROCARE,106.05,7.5,73.71,0.32,60.0,5,5.63
PNBHOUSING,105.11,7.65,51.96,0.17,60.0,5,3.14
HONAUT,101.73,7.27,52.49,0.13,25.0,8,3.73
CERA,101.17,7.25,48.56,0.11,50.0,6,3.48
AJANTPHARM,99.92,7.18,49.01,0.12,40.0,5,2.75
VIPIND,99.39,7.15,70.76,0.15,22.22,9,3.4
HCLTECH,97.57,7.05,36.78,0.11,66.67,6,3.57
SHOPERSTOP,97.4,7.04,52.38,0.14,33.33,6,3.58
GULFOILLUB,96.82,7.01,33.5,0.1,25.0,8,4.87
TIMKEN,95.54,6.94,60.11,0.13,33.33,6,4.35
MAHSCOOTER,95.2,6.92,35.43,0.12,83.33,6,6.83
VGUARD,92.82,6.79,29.58,0.08,75.0,4,70.37
ABCAPITAL,92.2,7.59,56.96,0.15,60.0,5,1.74
TATASTEEL,92.06,6.75,55.88,0.11,40.0,5,2.98
NFL,91.86,6.74,42.0,0.15,33.33,6,3.08
SBIN,91.04,6.69,44.3,0.1,42.86,7,2.8
JYOTHYLAB,90.91,6.68,45.92,0.11,37.5,8,3.02
ESCORTS,90.58,6.67,39.47,0.12,42.86,7,4.16
DRREDDY,90.25,6.65,31.29,0.08,33.33,9,3.78
BAJAJELEC,90.19,6.64,65.08,0.12,42.86,7,3.1
HEROMOTOCO,89.75,6.62,28.79,0.06,57.14,7,4.74
LEMONTREE,88.75,7.93,39.15,0.18,42.86,7,3.38
TECHM,88.02,6.52,48.03,0.1,37.5,8,2.83
HDFCBANK,85.19,6.36,33.93,0.04,85.71,7,5.5
STARCEMENT,84.86,6.96,36.36,0.11,75.0,4,7.63
IFBIND,84.4,6.32,68.9,0.14,42.86,7,2.87
ZYDUSWELL,83.43,6.26,37.0,0.08,83.33,6,6.19
ITC,83.36,6.25,43.25,0.03,33.33,6,5.57
JETAIRWAYS,82.23,6.19,67.47,0.1,42.86,7,4.22
EICHERMOT,82.04,6.18,32.6,0.06,40.0,5,0.63
UFLEX,80.46,6.09,47.52,0.08,50.0,4,6.01
ORIENTCEM,79.6,6.03,46.44,0.11,33.33,6,3.03
PIIND,79.25,6.01,49.9,0.07,16.67,6,4.01
MARICO,79.01,6.0,25.96,0.03,50.0,8,5.2
JSWSTEEL,78.95,6.0,54.04,0.07,40.0,5,2.55
ATUL,77.95,5.94,64.04,0.06,16.67,6,3.76
SUNTECK,77.92,5.94,55.24,0.1,44.44,9,3.29
BERGEPAINT,77.9,5.93,39.61,0.06,50.0,8,3.45
BLISSGVS,76.89,5.87,70.6,0.16,44.44,9,0.58
CARBORUNIV,76.73,5.86,55.05,0.07,50.0,6,3.57
MHRIL,76.43,5.85,53.95,0.08,50.0,6,2.83
BALRAMCHIN,75.3,5.78,64.92,0.13,60.0,5,3.07
RELCAPITAL,74.71,6.78,61.19,0.13,100.0,3,999.99
ADANIPORTS,74.62,5.74,65.07,0.11,33.33,9,2.03
SCHAEFFLER,74.61,5.74,57.15,0.06,25.0,8,3.33
UBL,73.72,5.68,28.47,0.04,42.86,7,3.07
GAIL,73.42,5.66,28.64,0.04,28.57,7,3.78
HINDUNILVR,72.55,5.61,42.22,0.01,22.22,9,3.58
KEC,71.84,5.57,67.54,0.11,42.86,7,2.76
GUJALKALI,70.92,5.51,53.96,0.07,66.67,3,7.28
RAIN,70.75,5.5,89.35,0.15,22.22,9,3.37
RITES,70.05,6.78,42.42,0.14,40.0,5,4.14
AMBUJACEM,69.21,5.4,48.28,0.04,42.86,7,3.25
MMTC,68.1,5.33,54.48,0.12,40.0,5,2.97
STAR,68.05,5.33,66.37,0.16,42.86,7,2.41
RENUKA,67.76,5.31,55.91,0.11,33.33,6,3.68
JAGRAN,66.62,5.24,31.27,0.04,40.0,5,7.8
ICICIGI,65.66,5.86,42.29,0.06,50.0,6,5.89
BRITANNIA,65.48,5.17,42.8,0.0,33.33,9,3.51
MANAPPURAM,65.46,5.17,63.98,0.12,66.67,6,2.59
EIDPARRY,65.45,5.17,55.06,0.08,50.0,4,3.28
THOMASCOOK,65.03,5.14,50.37,0.08,42.86,7,2.59
MPHASIS,65.01,5.14,53.85,0.02,20.0,5,3.71
CEATLTD,62.91,5.0,50.83,0.07,57.14,7,3.37
ENGINERSIN,62.84,5.0,47.43,0.06,20.0,5,3.68
CESC,61.15,4.89,49.7,0.02,33.33,6,3.41
GILLETTE,60.7,4.86,35.36,-0.04,42.86,7,3.09
PGHL,57.24,4.63,22.54,-0.09,100.0,3,999.99
BEML,55.06,4.49,64.01,0.1,37.5,8,2.36
TAKE,53.21,4.36,60.58,0.06,50.0,4,4.39
SYNGENE,52.72,4.33,33.11,-0.04,50.0,8,2.85
VARROC,52.02,5.32,49.86,0.08,40.0,5,2.12
GPPL,51.46,4.24,51.64,0.02,50.0,6,2.53
UCOBANK,51.39,4.24,63.18,0.03,14.29,7,3.34
BOSCHLTD,50.93,4.21,38.26,-0.05,40.0,5,3.59
DMART,49.62,4.39,42.56,-0.01,50.0,6,3.84
BIOCON,46.9,3.92,42.68,0.01,42.86,7,2.27
SUPRAJIT,46.4,3.89,50.21,0.0,71.43,7,2.25
APLLTD,45.26,3.81,51.88,-0.01,33.33,6,2.31
CCL,44.9,3.78,42.29,-0.0,50.0,6,1.61
GODFRYPHLP,44.31,3.74,65.93,0.09,40.0,10,2.22
CREDITACC,42.85,4.58,37.06,0.01,60.0,5,2.62
HDFCAMC,41.53,4.44,31.87,-0.05,50.0,4,4.04
INDUSINDBK,41.17,3.51,45.17,-0.06,50.0,6,1.84
BATAINDIA,39.61,3.4,60.6,-0.07,28.57,7,2.59
NMDC,39.41,3.38,54.9,0.01,25.0,8,1.57
COLPAL,38.8,3.34,42.03,-0.14,57.14,7,2.55
LICHSGFIN,38.21,3.29,35.14,-0.09,33.33,6,2.57
AAVAS,37.84,4.18,40.62,-0.04,50.0,4,2.95
INFY,37.79,3.26,47.51,-0.08,25.0,8,2.13
AIAENG,37.73,3.26,44.44,-0.04,40.0,5,1.7
SUZLON,37.56,3.24,68.52,0.09,22.22,9,3.07
GALAXYSURF,37.05,3.78,47.37,-0.04,33.33,6,2.35
GICRE,36.56,3.61,55.62,0.07,40.0,5,3.35
IDFCFIRSTB,36.23,3.14,47.84,-0.06,33.33,6,2.04
DBCORP,35.41,3.08,40.81,-0.0,28.57,7,2.52
CENTURYPLY,34.18,2.99,56.0,-0.01,37.5,8,2.85
AXISBANK,32.74,2.88,35.17,-0.09,42.86,7,1.97
SANOFI,31.84,2.8,47.69,-0.1,50.0,6,2.2
SHARDACROP,31.04,2.74,46.89,0.03,57.14,7,2.19
BALMLAWRIE,30.75,2.72,38.48,-0.06,40.0,5,2.5
CENTRALBK,30.5,2.7,68.72,-0.01,50.0,6,2.63
INDIACEM,27.66,2.47,59.94,0.03,50.0,8,1.85
FINPIPE,25.69,2.31,52.62,-0.07,50.0,4,2.07
NATCOPHARM,24.98,2.26,54.63,-0.07,42.86,7,1.89
SUNDRMFAST,23.56,2.14,39.82,-0.17,40.0,5,1.55
GLAXO,22.63,2.06,42.93,-0.14,28.57,7,2.28
BIRLACORPN,20.34,1.87,49.19,-0.08,40.0,5,1.92
RALLIS,19.58,1.81,41.04,-0.06,42.86,7,1.72
QUESS,19.21,1.77,66.6,-0.11,66.67,3,2.03
ORIENTELEC,18.94,2.13,40.45,-0.2,25.0,4,2.31
BALKRISIND,18.22,1.69,56.55,-0.13,28.57,7,1.92
TATACHEM,17.96,1.67,56.2,-0.09,12.5,8,2.19
FDC,17.66,1.64,48.07,-0.08,37.5,8,2.06
BPCL,16.56,1.55,56.53,-0.12,42.86,7,1.8
PGHH,15.52,1.45,23.87,-0.33,33.33,6,1.97
PNB,15.07,1.42,66.51,-0.09,50.0,6,2.42
CHOLAHLDNG,15.07,1.41,54.59,-0.14,33.33,6,1.86
SBILIFE,11.82,1.27,46.99,-0.18,60.0,5,1.69
TNPL,11.16,1.06,39.64,-0.14,50.0,6,1.26
ACC,9.96,0.95,40.01,-0.19,25.0,8,1.51
KOLTEPATIL,9.78,0.94,63.02,-0.02,50.0,6,1.61
ASIANPAINT,9.64,0.93,55.32,-0.2,42.86,7,1.49
ENDURANCE,8.42,0.83,43.63,-0.18,40.0,5,1.32
MGL,7.49,0.73,47.96,-0.15,33.33,6,1.46
CROMPTON,7.36,0.71,35.02,-0.21,50.0,6,1.72
RAJESHEXPO,7.23,0.7,52.92,-0.22,50.0,4,1.5
INDOSTAR,6.59,0.78,41.59,-0.05,50.0,4,2.04
3MINDIA,6.54,0.64,62.17,-0.16,50.0,8,1.47
CONCOR,6.46,0.63,51.69,-0.18,37.5,8,1.49
JKPAPER,5.63,0.55,69.56,-0.05,16.67,6,2.45
BAJAJFINSV,5.58,0.55,56.68,-0.14,42.86,7,1.64
GODREJCP,5.5,0.54,51.16,-0.21,62.5,8,1.39
DCBBANK,5.28,0.52,40.01,-0.14,37.5,8,0.56
DABUR,4.98,0.49,44.52,-0.27,42.86,7,1.36
ADVENZYMES,4.45,0.44,55.54,-0.13,33.33,6,2.16
BLUEDART,3.38,0.33,54.66,-0.22,28.57,7,1.87
REPCOHOME,2.86,0.28,46.51,-0.12,37.5,8,1.45
MASFIN,2.77,0.31,61.79,-0.11,40.0,5,1.31
NESCO,2.71,0.27,56.11,-0.17,33.33,6,1.33
DELTACORP,2.3,0.23,73.67,-0.05,44.44,9,1.65
HIMATSEIDE,2.26,0.22,50.8,-0.09,60.0,5,1.31
RELIANCE,2.17,0.22,45.09,-0.26,66.67,6,1.35
FCONSUMER,1.86,0.18,65.43,-0.16,33.33,3,1.94
ASHOKLEY,0.61,0.06,72.37,-0.09,75.0,8,1.64
SHK,-0.8,-0.08,59.56,-0.12,28.57,7,1.48
CRISIL,-1.03,-0.1,51.74,-0.17,28.57,7,1.37
ICRA,-1.42,-0.14,48.1,-0.24,12.5,8,1.51
FINEORG,-1.74,-0.22,61.39,-0.16,20.0,5,1.0
VENKEYS,-2.81,-0.28,55.24,-0.23,25.0,4,1.5
PCJEWELLER,-4.39,-0.45,91.71,0.0,37.5,8,2.95
VTL,-4.93,-0.51,60.46,-0.16,28.57,7,1.25
CANFINHOME,-5.01,-0.51,52.25,-0.14,42.86,7,1.17
KOTAKBANK,-5.59,-0.57,48.28,-0.3,44.44,9,1.04
MOIL,-6.27,-0.65,66.14,-0.12,28.57,7,1.55
UPL,-6.95,-0.72,51.64,-0.26,33.33,6,0.99
CIPLA,-7.38,-0.76,44.77,-0.29,22.22,9,1.1
HATSUN,-7.43,-0.77,53.17,-0.24,28.57,7,1.63
FLFL,-10.02,-1.05,25.36,-1.0,0.0,3,
RAMCOCEM,-10.36,-1.09,46.09,-0.32,57.14,7,1.02
MAHLOG,-10.79,-1.3,65.13,-0.22,33.33,6,0.85
SFL,-11.19,-1.22,56.48,-0.34,42.86,7,1.27
NIACL,-11.64,-1.41,58.54,-0.09,50.0,4,1.37
ULTRACEMCO,-13.54,-1.45,67.65,-0.3,22.22,9,1.26
SUNTV,-13.79,-1.47,40.42,-0.36,60.0,5,0.74
RUPA,-16.18,-1.75,65.8,-0.16,33.33,6,1.66
CUB,-16.45,-1.78,65.15,-0.24,25.0,4,0.15
DCAL,-17.1,-1.86,63.18,-0.07,25.0,8,1.15
AUBANK,-17.76,-2.13,70.15,-0.17,16.67,6,0.54
ALLCARGO,-19.94,-2.2,72.45,-0.2,25.0,8,1.65
COFFEEDAY,-20.26,-2.24,66.67,-0.01,37.5,8,0.62
NILKAMAL,-20.53,-2.27,54.64,-0.45,12.5,8,1.03
TTKPRESTIG,-20.76,-2.3,60.62,-0.36,16.67,6,0.78
ITI,-21.39,-2.38,61.3,-0.11,22.22,9,1.54
NETWORK18,-21.76,-2.43,62.5,-0.08,33.33,6,1.01
EMAMILTD,-21.93,-2.45,51.0,-0.45,14.29,7,0.81
TVTODAY,-21.98,-2.45,51.61,-0.22,40.0,5,0.59
KNRCON,-23.35,-2.63,53.7,-0.32,14.29,7,1.27
M&MFIN,-23.55,-2.65,75.17,-0.19,57.14,7,1.3
IDEA,-23.87,-2.69,63.86,-0.07,33.33,6,0.34
JUSTDIAL,-25.33,-2.88,61.91,-0.17,33.33,6,0.91
IGL,-25.33,-2.88,60.72,-0.33,20.0,5,0.64
PRSMJOHNSN,-25.78,-2.94,64.82,-0.25,22.22,9,1.23
SPARC,-26.73,-3.06,63.07,-0.17,33.33,6,0.36
GODREJAGRO,-27.06,-3.52,53.64,-0.42,33.33,6,0.81
HDFCLIFE,-27.83,-3.67,50.32,-0.44,33.33,6,0.08
IRB,-28.19,-3.26,75.47,-0.12,36.36,11,1.06
RHFL,-28.27,-3.67,74.6,-0.17,25.0,4,1.23
KSCL,-28.43,-3.29,77.93,-0.23,40.0,10,1.04
KAJARIACER,-29.45,-3.43,55.01,-0.38,25.0,8,1.07
ITDC,-32.01,-3.94,75.21,-0.17,33.33,6,1.05
SADBHAV,-32.35,-3.83,64.65,-0.22,16.67,6,0.94
SHREECEM,-33.09,-3.94,51.75,-0.45,40.0,10,0.54
CASTROLIND,-33.15,-3.95,70.36,-0.36,10.0,10,0.8
KANSAINER,-33.47,-4.0,60.79,-0.5,25.0,8,0.74
HATHWAY,-35.64,-4.31,64.11,-0.28,14.29,7,0.45
SIS,-36.35,-4.9,56.92,-0.44,33.33,6,0.21
PARAGMILK,-36.48,-4.44,67.95,-0.23,42.86,7,0.91
JKLAKSHMI,-36.51,-4.44,65.0,-0.36,30.0,10,0.97
RELINFRA,-37.11,-4.54,68.18,-0.09,22.22,9,1.47
MARUTI,-38.19,-4.7,57.6,-0.56,50.0,8,0.51
JAICORPLTD,-38.28,-4.71,83.37,-0.1,40.0,10,1.1
FRETAIL,-39.57,-4.94,55.01,-1.15,0.0,2,
HEIDELBERG,-40.85,-5.12,48.13,-0.42,30.0,10,0.64
PETRONET,-41.11,-5.16,64.3,-0.52,20.0,10,0.37
ABFRL,-41.62,-5.24,66.09,-0.33,28.57,7,0.72
VSTIND,-41.84,-5.28,57.68,-0.52,11.11,9,0.03
SKFINDIA,-42.92,-5.46,74.27,-0.3,25.0,8,1.09
IBREALEST,-43.36,-5.53,82.97,-0.13,42.86,7,1.16
BANDHANBNK,-44.94,-6.89,57.46,-0.58,0.0,7,
RCOM,-46.21,-6.02,63.62,-0.31,20.0,5,0.85
