Symbol,Total Return %,CAGR %,Max Drawdown %,Sharpe,Win Rate %,Trades,Profit Factor
HEG,6282.35,51.57,57.98,1.02,100.0,3,999.99
BSE,5418.27,52.49,45.18,1.14,50.0,2,13.24
ADANIGREEN,4787.16,61.28,49.3,1.24,75.0,4,78.71
CGPOWER,4005.66,45.03,37.25,1.15,33.33,3,289.44
JSL,3836.77,44.42,56.8,0.95,80.0,5,32.49
GRAPHITE,3052.22,41.24,35.86,0.97,100.0,3,999.99
LAURUSLABS,2047.71,37.5,55.56,1.03,33.33,3,16.27
ADANIPOWER,2033.42,35.83,64.14,0.76,60.0,5,13.1
RADICO,1973.94,35.45,46.17,0.82,60.0,5,21.57
RKFORGE,1689.2,33.46,37.38,0.9,100.0,3,999.99
JBCHEPHARM,1538.06,32.44,33.87,0.9,75.0,4,34.12
KIRLOSENG,1505.83,32.02,32.14,0.86,50.0,4,28.77
DEEPAKNTR,1331.3,30.51,46.04,0.77,60.0,5,25.36
DIXON,1197.94,33.45,46.57,0.88,50.0,6,14.19
HFCL,1182.77,29.09,57.42,0.67,42.86,7,9.31
GMDCLTD,1136.33,28.61,42.63,0.68,100.0,2,999.99
MUTHOOTFIN,1057.12,27.76,44.85,0.73,100.0,3,999.99
BEL,989.52,27.0,25.73,0.78,100.0,4,999.99
KARURVYSYA,945.92,26.48,32.38,0.76,100.0,4,999.99
CUMMINSIND,941.4,26.42,26.48,0.82,40.0,5,40.97
JINDALSAW,849.96,25.27,76.24,0.61,60.0,5,10.51
TIMETECHNO,798.3,24.57,40.41,0.61,33.33,6,8.04
SUVEN,770.09,24.17,68.79,0.56,50.0,6,13.24
RECLTD,728.89,23.57,43.86,0.65,66.67,6,20.94
TATAELXSI,720.68,23.45,53.5,0.65,50.0,6,25.93
NATIONALUM,699.79,23.13,43.4,0.61,60.0,5,14.66
HAL,687.98,28.05,54.13,0.77,33.33,3,25.5
JAMNAAUTO,686.17,22.92,31.6,0.6,100.0,3,999.99
KEI,684.29,22.89,63.08,0.6,25.0,4,19.16
SOBHA,653.22,22.39,39.4,0.57,60.0,5,25.46
WABAG,632.98,22.06,40.83,0.58,40.0,5,13.01
DIVISLAB,627.4,21.97,29.08,0.66,50.0,4,32.26
FSL,622.84,21.89,49.51,0.55,42.86,7,7.75
TRENT,622.61,21.88,50.23,0.6,80.0,5,30.49
BOMDYEING,617.67,21.8,46.53,0.53,50.0,6,10.97
NAVINFLUOR,613.05,21.72,45.28,0.59,16.67,6,7.89
ABB,597.14,21.45,40.57,0.63,50.0,6,18.3
SOLARINDS,579.99,21.15,55.42,0.58,50.0,6,8.97
VBL,563.9,21.44,34.18,0.64,100.0,2,999.99
DEEPAKFERT,541.87,20.45,51.14,0.52,50.0,4,13.18
CDSL,539.19,22.6,54.29,0.61,40.0,5,18.48
OIL,526.55,20.16,50.09,0.55,60.0,5,34.46
CAPLIPOINT,524.14,20.11,42.7,0.51,50.0,8,7.53
INOXWIND,522.67,20.08,53.61,0.5,50.0,4,10.18
INDHOTEL,518.85,20.01,34.51,0.55,20.0,5,30.05
