Symbol,Total Return %,CAGR %,Max Drawdown %,Sharpe,Win Rate %,Trades,Profit Factor
JINDALSTEL,171.05,10.49,14.85,0.33,100.0,7,999.99
SIEMENS,118.81,8.15,12.53,0.15,80.0,5,30.32
MRF,116.12,8.02,11.26,0.13,83.33,6,19.95
NATCOPHARM,110.61,7.74,14.71,0.11,71.43,7,9.46
GRASIM,91.63,6.72,16.16,0.02,50.0,6,5.59
KARURVYSYA,85.12,6.36,8.62,-0.05,100.0,3,999.99
COROMANDEL,79.99,6.06,12.43,-0.06,71.43,7,7.63
CGPOWER,78.99,6.0,9.76,-0.09,100.0,3,999.99
MAHSCOOTER,74.02,5.7,12.59,-0.13,83.33,6,38.89
ERIS,72.91,6.2,9.4,-0.07,60.0,5,9.49
ABB,71.86,5.57,14.05,-0.14,50.0,6,5.95
ESCORTS,70.08,5.46,9.97,-0.15,66.67,6,8.48
INDUSINDBK,68.56,5.36,13.26,-0.13,83.33,6,15.33
NESCO,66.91,5.26,11.96,-0.16,80.0,5,23.78
TCS,65.96,5.2,11.53,-0.15,50.0,4,44.16
APLAPOLLO,65.91,5.2,12.82,-0.2,50.0,6,4.21
TITAN,65.83,5.19,23.66,-0.14,37.5,8,3.16
HDFCBANK,64.41,5.1,21.93,-0.18,66.67,6,6.55
GRINDWELL,63.18,5.02,20.06,-0.14,62.5,8,4.11
HEG,61.98,4.95,8.2,-0.28,100.0,4,999.99
PRAJIND,59.53,4.78,16.76,-0.19,42.86,7,4.52
ALKEM,58.84,4.74,14.48,-0.21,50.0,6,7.06
WABAG,58.3,4.7,16.28,-0.22,66.67,6,5.28
M&M,57.81,4.67,16.61,-0.17,71.43,7,8.66
BEL,57.58,4.66,9.38,-0.26,100.0,3,999.99
GILLETTE,56.79,4.6,17.02,-0.25,66.67,6,5.62
RELIANCE,55.76,4.53,17.04,-0.24,66.67,6,6.22
HINDZINC,55.26,4.5,21.8,-0.24,60.0,5,6.03
TATAINVEST,53.92,4.41,13.62,-0.29,57.14,7,6.16
HEROMOTOCO,53.62,4.39,20.2,-0.23,66.67,6,6.51
CUMMINSIND,51.92,4.27,14.19,-0.28,80.0,5,8.31
GLENMARK,51.72,4.26,10.15,-0.18,80.0,5,7.52
NCC,51.46,4.24,15.41,-0.33,50.0,4,5.71
NATIONALUM,51.22,4.23,14.07,-0.28,66.67,3,19.11
GAYAPROJ,49.27,4.09,9.54,-0.38,40.0,5,6.42
BAJAJ-AUTO,49.2,4.09,18.69,-0.23,42.86,7,4.64
TORNTPHARM,48.74,4.05,14.25,-0.24,83.33,6,15.59
OFSS,48.04,4.0,11.19,-0.32,71.43,7,5.37
BAJFINANCE,46.61,3.9,19.76,-0.27,42.86,7,3.42
NMDC,45.09,3.79,17.2,-0.28,62.5,8,3.92
TECHM,45.09,3.79,17.2,-0.28,50.0,6,4.04
THERMAX,45.04,3.79,21.11,-0.27,57.14,7,4.27
RAMCOCEM,44.75,3.77,14.73,-0.31,83.33,6,11.95
DIVISLAB,43.97,3.71,15.05,-0.34,25.0,4,2.68
EIHOTEL,43.95,3.71,14.14,-0.35,66.67,6,4.55
HERITGFOOD,42.53,3.61,15.24,-0.36,75.0,4,9.0
DCAL,42.0,3.57,12.3,-0.3,71.43,7,31.3
DLF,41.96,3.57,17.01,-0.33,50.0,6,3.62
PAGEIND,41.85,3.56,14.87,-0.34,50.0,6,4.32
SHANKARA,41.6,3.79,16.32,-0.33,57.14,7,3.33
DCBBANK,41.18,3.51,17.54,-0.26,33.33,9,2.77
ASHOKLEY,40.97,3.5,20.81,-0.29,57.14,7,3.63
ABCAPITAL,40.7,3.9,12.91,-0.33,60.0,5,4.16
HDFCAMC,40.31,4.32,14.57,-0.25,80.0,5,7.72
GODREJPROP,39.69,3.4,14.51,-0.39,50.0,4,6.06
INDIANB,39.0,3.35,21.3,-0.41,28.57,7,2.86
OBEROIRLTY,37.46,3.23,18.39,-0.38,57.14,7,3.32
AUROPHARMA,37.22,3.22,14.27,-0.36,50.0,6,4.08
HAVELLS,37.09,3.21,12.88,-0.5,50.0,4,3.94
HCLTECH,36.2,3.14,12.98,-0.33,50.0,6,3.16
JSL,35.49,3.09,16.77,-0.5,60.0,5,3.77
BALRAMCHIN,35.48,3.09,22.27,-0.43,50.0,6,3.25
ASTERDM,35.16,3.63,12.31,-0.29,40.0,5,4.87
VEDL,34.49,3.01,15.96,-0.45,25.0,4,10.65
GLAXO,33.9,2.96,12.56,-0.5,83.33,6,9.83
RAJESHEXPO,33.47,2.93,12.79,-0.69,50.0,4,7.42
WELCORP,32.92,2.89,24.71,-0.42,57.14,7,3.01
SYNGENE,32.16,2.83,17.79,-0.46,66.67,6,3.45
RELAXO,31.73,2.8,10.18,-0.64,25.0,4,3.01
BHARATFORG,31.66,2.79,24.7,-0.45,50.0,6,3.1
SFL,31.5,2.88,10.81,-0.57,66.67,6,4.33
PNCINFRA,30.9,2.73,20.81,-0.5,60.0,5,3.31
MARUTI,30.43,2.69,24.26,-0.4,42.86,7,2.49
COFFEEDAY,30.34,2.69,19.77,-0.23,50.0,8,2.6
BERGEPAINT,30.22,2.68,23.18,-0.44,37.5,8,2.37
RCOM,29.57,2.63,13.95,-0.62,40.0,5,2.74
LUPIN,29.48,2.62,19.85,-0.5,33.33,6,2.96
DCMSHRIRAM,29.46,2.62,10.03,-0.61,100.0,5,999.99
MHRIL,29.3,2.6,15.65,-0.53,50.0,6,2.71
FINCABLES,29.16,2.59,19.11,-0.55,50.0,4,3.75
DBCORP,28.78,2.56,18.09,-0.57,28.57,7,2.53
KOTAKBANK,28.34,2.53,22.62,-0.37,55.56,9,2.34
KAJARIACER,27.65,2.47,20.83,-0.49,37.5,8,2.09
TRENT,27.61,2.47,19.53,-0.74,40.0,5,2.86
COLPAL,27.25,2.44,24.25,-0.46,42.86,7,2.82
