Symbol,Total Return %,CAGR %,Max Drawdown %,Sharpe,Win Rate %,Trades,Profit Factor
ASIANPAINT,26.88,2.41,23.63,-0.47,42.86,7,2.69
GRAPHITE,26.78,2.4,10.1,-0.6,75.0,4,16.49
MFSL,26.28,2.36,16.95,-0.52,60.0,5,5.99
SANOFI,25.28,2.28,13.77,-0.54,50.0,6,2.45
BHARTIARTL,24.99,2.26,15.33,-0.56,40.0,5,3.17
MRPL,24.76,2.24,9.44,-0.6,60.0,5,3.63
LINDEINDIA,24.51,2.22,22.84,-0.64,57.14,7,2.15
DEEPAKFERT,24.22,2.19,9.31,-0.65,50.0,4,6.15
JKCEMENT,23.82,2.16,9.35,-0.87,66.67,3,7.67
INDIACEM,23.69,2.15,13.31,-0.51,62.5,8,2.83
CDSL,23.62,2.36,15.23,-0.61,25.0,4,3.35
GODREJIND,23.36,2.12,11.88,-0.7,40.0,5,3.34
CHENNPETRO,22.19,2.03,14.72,-0.7,80.0,5,4.56
SUNPHARMA,21.85,2.0,16.68,-0.63,33.33,6,2.25
ICICIBANK,21.61,1.98,12.32,-0.64,25.0,4,2.95
GNFC,21.61,1.98,9.21,-0.97,66.67,3,4.12
CYIENT,21.43,1.96,11.87,-0.65,50.0,4,2.9
IBREALEST,21.18,1.94,10.54,-0.46,66.67,6,2.47
RELCAPITAL,20.77,2.24,14.61,-0.74,33.33,3,2.83
INFY,20.59,1.89,14.16,-0.52,42.86,7,1.98
REDINGTON,20.56,1.89,20.71,-0.58,50.0,8,2.18
SHARDACROP,20.55,1.89,13.29,-0.57,71.43,7,3.53
RADICO,20.1,1.85,18.65,-0.61,40.0,5,0.4
GHCL,19.89,1.83,19.11,-0.71,80.0,5,3.4
CARERATING,19.69,1.81,17.63,-0.54,66.67,6,2.47
TTKPRESTIG,19.12,1.77,15.15,-0.56,66.67,6,3.15
PGHH,19.04,1.76,16.53,-0.64,60.0,5,2.56
RBLBANK,18.04,1.68,19.2,-0.56,60.0,5,2.39
CERA,17.98,1.67,17.49,-0.65,50.0,6,2.25
PCJEWELLER,17.92,1.66,12.72,-0.69,66.67,6,2.95
TIINDIA,17.77,1.88,19.34,-0.54,50.0,6,2.18
AVANTIFEED,17.44,1.62,33.5,-0.55,33.33,9,1.61
BALMLAWRIE,17.1,1.59,14.77,-0.54,40.0,5,3.54
COCHINSHIP,16.6,1.72,14.56,-0.99,50.0,4,2.52
BPCL,16.28,1.52,19.34,-0.66,33.33,6,1.88
BSE,15.88,1.56,10.16,-0.84,66.67,3,3.01
PIDILITIND,15.41,1.44,27.41,-0.5,25.0,8,1.49
SUZLON,15.0,1.41,22.58,-0.59,33.33,9,1.69
ASTRAZEN,14.86,1.4,9.06,-0.96,75.0,4,11.04
CREDITACC,14.81,1.75,15.04,-0.56,50.0,4,1.88
BEML,14.79,1.39,18.29,-0.57,42.86,7,1.92
RALLIS,14.75,1.39,16.4,-0.69,57.14,7,2.37
SADBHAV,14.57,1.37,11.34,-0.93,80.0,5,2.93
WOCKPHARMA,14.54,1.37,12.47,-0.84,60.0,5,2.24
HATHWAY,13.64,1.29,9.95,-0.79,80.0,5,3.42
ENDURANCE,13.48,1.3,13.42,-0.69,75.0,4,2.28
SBIN,13.16,1.24,28.35,-0.71,28.57,7,1.41
ALLCARGO,13.07,1.24,20.21,-0.58,28.57,7,1.78
TAKE,12.98,1.23,19.16,-1.1,25.0,4,1.94
JYOTHYLAB,12.8,1.21,23.82,-0.75,42.86,7,1.65
NFL,12.59,1.19,7.65,-1.3,66.67,3,2.74
BDL,12.42,1.41,13.73,-0.8,75.0,4,3.33
TATAELXSI,12.2,1.16,20.69,-0.78,40.0,5,1.67
IRCON,12.1,1.46,17.66,-0.73,40.0,5,1.82
SPARC,11.98,1.14,16.45,-0.82,57.14,7,1.71
SUNDARMFIN,11.88,1.13,18.47,-0.72,40.0,5,2.23
KEI,11.82,1.12,10.95,-0.92,66.67,3,6.52
CARBORUNIV,11.59,1.1,16.22,-0.84,33.33,6,1.64
LTTS,11.45,1.1,25.49,-0.6,22.22,9,1.55
SOBHA,11.21,1.07,14.16,-0.99,75.0,4,3.04
IOC,11.03,1.05,12.45,-0.86,50.0,4,2.13
CENTRALBK,11.03,1.05,12.79,-0.86,40.0,5,2.61
UFLEX,11.03,1.05,15.72,-1.18,66.67,3,2.45
STAR,10.9,1.04,17.23,-0.88,57.14,7,1.71
BLUESTARCO,10.89,1.04,24.36,-0.78,50.0,6,1.74
SHREECEM,10.69,1.02,33.08,-0.52,40.0,10,1.43
DBL,10.03,0.96,9.98,-1.2,33.33,3,2.77
IDFCFIRSTB,9.96,0.95,26.88,-0.77,33.33,6,1.35
M&MFIN,9.84,0.94,19.93,-0.64,57.14,7,1.57
ORIENTELEC,9.83,1.15,8.89,-1.16,100.0,2,999.99
KOLTEPATIL,9.72,0.93,12.76,-0.75,66.67,6,1.85
CEATLTD,9.5,0.91,12.69,-0.9,33.33,6,1.58
IPCALAB,9.35,0.9,15.77,-0.83,60.0,5,1.88
IDEA,9.25,0.89,16.14,-0.69,42.86,7,1.49
FDC,9.17,0.88,16.2,-0.74,37.5,8,1.58
BRITANNIA,9.16,0.88,18.66,-0.53,50.0,8,1.69
HINDCOPPER,9.08,0.87,18.89,-0.77,33.33,6,1.74
HEIDELBERG,8.91,0.86,15.27,-0.59,30.0,10,1.46
ONGC,8.75,0.84,20.96,-0.68,50.0,6,1.54
SOUTHBANK,8.45,0.82,17.48,-1.0,50.0,4,2.01
WIPRO,8.44,0.81,18.55,-0.75,60.0,5,1.69
SUVEN,8.28,0.8,20.83,-0.7,42.86,7,1.72
MASFIN,8.15,0.89,11.18,-0.86,60.0,5,1.97
APLLTD,7.89,0.76,21.11,-0.64,66.67,6,1.61
HONAUT,7.77,0.75,21.93,-0.76,50.0,6,1.77
EXIDEIND,7.54,0.73,23.12,-0.87,25.0,4,0.32
UBL,7.44,0.72,18.7,-0.67,57.14,7,1.55
JETAIRWAYS,7.26,0.7,13.31,-1.23,25.0,4,1.71
JBCHEPHARM,7.2,0.7,18.08,-0.85,60.0,5,1.64
BOMDYEING,7.14,0.69,9.3,-1.05,75.0,4,2.56
LUXIND,7.07,0.69,24.0,-0.75,16.67,6,1.55
JAMNAAUTO,6.96,0.68,16.08,-0.92,75.0,4,1.92
THOMASCOOK,6.64,0.65,16.24,-0.85,42.86,7,1.49
NAUKRI,6.41,0.62,10.73,-0.84,50.0,4,1.72
FLFL,6.38,0.62,6.58,-2.15,100.0,1,999.99
BAJAJCON,6.25,0.61,21.15,-0.84,42.86,7,1.47
GALAXYSURF,6.2,0.71,24.08,-0.75,33.33,6,1.44
HINDUNILVR,6.15,0.6,31.38,-0.71,33.33,9,1.41
PERSISTENT,5.99,0.58,19.43,-0.76,16.67,6,1.49
LALPATHLAB,5.68,0.55,25.23,-0.69,50.0,8,1.35
ITI,5.62,0.55,12.84,-0.57,44.44,9,1.39
JSWENERGY,5.55,0.54,24.5,-0.75,28.57,7,1.41
MARICO,4.87,0.48,20.81,-0.48,55.56,9,1.4
FINPIPE,4.76,0.47,15.26,-0.85,50.0,4,1.47
PHOENIXLTD,4.59,0.45,19.49,-0.81,40.0,5,1.36
BAJAJHLDNG,4.56,0.45,15.01,-0.9,60.0,5,1.42
JUBLFOOD,4.48,0.44,16.19,-0.75,33.33,6,1.35
SUNTECK,4.45,0.44,22.42,-0.83,25.0,8,1.31
PGHL,4.19,0.41,11.64,-1.0,75.0,4,2.24
GICRE,4.16,0.47,11.95,-0.96,40.0,5,1.39
APOLLOHOSP,4.13,0.41,19.55,-0.75,50.0,6,0.51
TVSMOTOR,4.0,0.39,18.42,-1.19,33.33,3,1.52
HATSUN,3.95,0.39,11.98,-0.81,40.0,5,1.46
TIMETECHNO,3.77,0.37,10.53,-0.94,66.67,3,160.36
HAL,3.7,0.44,18.71,-1.13,33.33,3,0.37
SJVN,3.25,0.32,19.51,-1.29,50.0,4,1.38
BRIGADE,3.02,0.3,15.98,-0.94,75.0,4,1.45
SIS,2.89,0.32,21.27,-0.73,42.86,7,1.22
ASHOKA,2.75,0.27,15.37,-1.07,40.0,5,1.27
APOLLOTYRE,2.69,0.27,23.84,-0.88,50.0,4,1.33
SPTL,2.59,0.33,6.26,-2.24,100.0,1,999.99
RECLTD,2.52,0.25,20.46,-0.86,33.33,6,1.18
IOB,1.73,0.17,12.73,-1.28,66.67,3,1.34
HDFCLIFE,1.54,0.18,16.93,-0.78,50.0,6,1.19
FINEORG,0.85,0.11,21.65,-0.95,66.67,6,1.13
SUNTV,0.61,0.06,20.67,-0.8,20.0,5,1.18
VRLLOG,0.58,0.06,18.46,-1.18,50.0,4,1.14
SUDARSCHEM,0.48,0.05,21.13,-1.05,40.0,5,0.37
INDHOTEL,0.45,0.05,22.05,-1.0,50.0,4,1.27
VARROC,0.22,0.03,17.26,-1.16,40.0,5,1.12
BANKBARODA,-0.17,-0.02,20.52,-1.06,33.33,3,1.1
INDOCO,-0.23,-0.02,23.74,-0.94,44.44,9,1.07
CUB,-0.27,-0.03,13.41,-0.97,40.0,5,1.03
TATAPOWER,-0.63,-0.06,18.36,-1.0,50.0,6,1.05
VTL,-0.7,-0.07,26.46,-0.86,28.57,7,1.04
SKFINDIA,-0.72,-0.07,22.67,-0.79,37.5,8,1.03
UPL,-0.75,-0.08,27.2,-0.78,33.33,6,1.09
GULFOILLUB,-0.79,-0.08,23.28,-1.09,16.67,6,1.21
TRIDENT,-1.07,-0.11,29.36,-0.95,33.33,6,1.07
JKPAPER,-1.09,-0.11,20.5,-1.27,40.0,5,1.03
INDOSTAR,-1.12,-0.14,10.67,-1.2,50.0,4,0.95
HSCL,-1.13,-0.11,14.6,-1.06,50.0,6,1.02
TRITURBINE,-1.26,-0.13,16.19,-1.1,66.67,6,0.98
LEMONTREE,-1.4,-0.17,19.37,-1.06,28.57,7,1.08
VIPIND,-1.49,-0.15,18.95,-1.06,33.33,6,1.07
PIIND,-1.6,-0.16,25.24,-0.9,33.33,6,1.06
ADVENZYMES,-1.86,-0.19,20.47,-0.97,33.33,6,1.05
STARCEMENT,-1.9,-0.21,12.57,-1.88,33.33,3,0.94
SUPREMEIND,-1.91,-0.19,30.92,-0.92,16.67,6,1.12
BALKRISIND,-1.98,-0.2,36.43,-0.75,28.57,7,1.08
ADANIPOWER,-2.03,-0.21,21.29,-1.22,40.0,5,0.94
VOLTAS,-2.1,-0.21,26.65,-1.04,20.0,5,1.03
KTKBANK,-2.1,-0.21,20.24,-1.04,20.0,5,1.04
SHK,-2.21,-0.22,14.38,-1.02,40.0,5,0.99
KRBL,-2.38,-0.24,25.47,-0.85,12.5,8,0.98
PFIZER,-2.46,-0.25,17.51,-1.23,50.0,4,0.78
MUTHOOTFIN,-2.46,-0.25,12.77,-1.46,33.33,3,0.88
ADANIGREEN,-2.47,-0.31,17.68,-1.27,33.33,3,0.78
BLUEDART,-2.56,-0.26,17.7,-1.24,40.0,5,0.87
RELINFRA,-3.09,-0.31,18.55,-1.04,50.0,8,0.9
CENTURYPLY,-3.29,-0.33,21.81,-1.03,28.57,7,1.0
JAICORPLTD,-3.32,-0.34,18.58,-1.03,44.44,9,0.92
GODREJCP,-3.36,-0.34,21.76,-0.82,37.5,8,1.0
MINDACORP,-3.55,-0.36,17.48,-0.84,33.33,6,0.25
NLCINDIA,-3.7,-0.38,12.79,-1.28,40.0,5,0.65
INTELLECT,-3.84,-0.39,21.23,-1.07,33.33,6,0.8
GUJALKALI,-4.07,-0.41,13.38,-1.38,33.33,3,0.43
MPHASIS,-4.22,-0.43,14.18,-1.0,60.0,5,0.69
BAJAJELEC,-4.24,-0.43,19.44,-1.17,20.0,5,0.9
PRESTIGE,-4.43,-0.45,18.9,-1.07,40.0,5,0.83
GODFRYPHLP,-4.46,-0.46,29.85,-0.85,33.33,9,0.99
KANSAINER,-4.56,-0.47,28.79,-0.88,37.5,8,0.93
SOLARINDS,-4.66,-0.48,30.08,-1.04,28.57,7,0.97
SUNDRMFAST,-4.73,-0.48,16.8,-1.27,20.0,5,0.19
BANKINDIA,-5.25,-0.54,30.75,-0.93,50.0,6,0.88
MMTC,-5.39,-0.55,13.83,-1.57,40.0,5,0.65
EICHERMOT,-5.55,-0.57,17.04,-1.0,20.0,5,0.88
TATASTEEL,-5.56,-0.57,22.39,-0.88,50.0,6,0.83
SBILIFE,-5.59,-0.65,22.82,-0.77,40.0,5,0.81
SYMPHONY,-5.65,-0.58,19.59,-0.95,33.33,9,0.88
MAHSEAMLES,-5.75,-0.59,17.56,-1.35,40.0,5,0.69
HINDALCO,-5.83,-0.6,21.44,-1.02,40.0,5,0.78
FORTIS,-6.28,-0.65,17.79,-0.83,37.5,8,0.8
NETWORK18,-6.37,-0.66,16.25,-1.39,25.0,4,0.68
RAYMOND,-6.47,-0.67,14.28,-1.1,25.0,4,0.06
FRETAIL,-6.49,-0.67,10.16,-3.19,0.0,1,
IRB,-6.55,-0.68,21.92,-0.78,45.45,11,0.9
MOTILALOFS,-6.63,-0.68,19.53,-0.84,40.0,10,0.84
CAPLIPOINT,-6.76,-0.7,27.46,-0.88,42.86,7,0.51
BANDHANBNK,-7.21,-0.89,19.49,-1.06,20.0,5,0.71
TEAMLEASE,-7.23,-0.75,14.01,-2.12,33.33,3,0.17
SONATSOFTW,-7.51,-0.78,28.17,-1.33,40.0,5,0.77
OMAXE,-7.59,-0.79,21.65,-1.22,40.0,5,0.66
NHPC,-7.62,-0.79,18.63,-1.46,40.0,5,0.67
PTC,-7.67,-0.8,14.05,-1.5,25.0,4,0.44
GMDCLTD,-7.67,-0.8,15.5,-1.66,0.0,2,
AIAENG,-7.88,-0.82,24.92,-0.86,16.67,6,0.65
INDIGO,-8.01,-0.83,21.94,-0.89,42.86,7,0.59
KIRLOSENG,-8.07,-0.84,13.53,-1.76,25.0,4,0.5
LAURUSLABS,-8.09,-0.87,19.6,-1.53,33.33,3,0.48
PARAGMILK,-8.11,-0.84,19.83,-1.08,42.86,7,0.77
COALINDIA,-8.15,-0.85,27.0,-0.96,40.0,5,0.56
HFCL,-8.18,-0.85,20.75,-1.64,33.33,6,0.7
ITDC,-8.21,-0.89,21.08,-1.17,33.33,6,0.61
BOSCHLTD,-8.62,-0.9,28.58,-1.18,20.0,5,0.23
SCI,-8.76,-0.91,14.72,-1.1,50.0,6,0.71
RHFL,-8.82,-1.03,12.2,-1.88,33.33,3,0.3
MOIL,-8.9,-0.93,28.04,-1.15,14.29,7,0.8
BHEL,-8.96,-0.94,24.6,-0.91,44.44,9,0.77
RKFORGE,-9.14,-0.96,15.43,-1.98,25.0,4,0.44
RITES,-9.32,-1.2,23.9,-1.15,20.0,5,0.65
LT,-9.37,-0.98,29.46,-0.82,44.44,9,0.78
AAVAS,-9.44,-1.26,9.44,-2.59,0.0,2,
DMART,-9.49,-1.06,23.45,-1.03,20.0,5,0.67
FEDERALBNK,-9.5,-0.99,14.8,-1.25,20.0,5,0.5
UCOBANK,-9.66,-1.01,19.81,-1.66,33.33,6,0.58
GRANULES,-9.69,-1.01,25.1,-1.0,16.67,6,0.57
VINATIORGA,-9.69,-1.01,15.93,-1.3,40.0,5,0.64
SUPRAJIT,-9.85,-1.03,23.93,-1.37,20.0,5,0.14
EIDPARRY,-9.9,-1.04,22.45,-1.56,25.0,4,0.43
GODREJAGRO,-9.95,-1.18,19.55,-1.72,20.0,5,0.44
BIRLACORPN,-10.18,-1.07,18.33,-1.4,0.0,4,
VGUARD,-10.2,-1.07,13.82,-2.18,0.0,2,
DIXON,-10.22,-1.21,16.69,-1.46,25.0,4,0.19
SHILPAMED,-10.28,-1.08,19.46,-1.39,20.0,5,0.32
MGL,-10.43,-1.1,26.72,-0.98,16.67,6,0.59
KIOCL,-10.64,-1.15,15.51,-1.26,20.0,5,0.42
CHOLAHLDNG,-11.69,-1.24,21.94,-1.18,40.0,5,0.41
MAHABANK,-12.04,-1.28,12.04,-1.61,20.0,5,0.46
OIL,-12.04,-1.28,22.89,-1.24,40.0,5,0.23
PNBHOUSING,-12.1,-1.31,15.74,-1.19,20.0,5,0.43
IFBIND,-12.14,-1.29,24.04,-1.56,33.33,6,0.55
DRREDDY,-12.28,-1.3,29.1,-0.98,33.33,6,0.5
FCONSUMER,-12.5,-1.33,18.86,-1.98,0.0,3,
JAGRAN,-12.62,-1.34,17.06,-1.29,25.0,4,0.22
BBTC,-12.64,-1.34,22.06,-1.49,37.5,8,0.65
RPOWER,-12.81,-1.36,24.44,-1.47,20.0,5,0.57
GREAVESCOT,-12.85,-1.37,30.38,-0.95,27.27,11,0.76
JISLJALEQS,-12.86,-1.37,13.72,-1.86,20.0,5,0.05
CHAMBLFERT,-13.0,-1.38,22.24,-1.38,16.67,6,0.6
KPRMILL,-13.13,-1.4,21.63,-1.75,33.33,6,0.12
VBL,-13.29,-1.45,13.29,-2.52,0.0,2,
CROMPTON,-13.29,-1.42,18.05,-1.46,20.0,5,0.29
NILKAMAL,-13.48,-1.44,21.08,-1.45,33.33,6,0.46
PRSMJOHNSN,-13.49,-1.44,23.43,-1.27,28.57,7,0.59
BAJAJFINSV,-13.68,-1.46,34.69,-0.99,14.29,7,0.63
VSTIND,-13.69,-1.46,20.15,-1.02,25.0,8,0.38
KEC,-13.75,-1.47,17.15,-1.24,33.33,6,0.31
MANAPPURAM,-13.81,-1.48,24.86,-1.09,28.57,7,0.53
AUBANK,-13.83,-1.63,27.93,-1.11,28.57,7,0.56
RUPA,-13.84,-1.48,22.33,-1.74,16.67,6,0.36
PNB,-13.93,-1.49,24.95,-1.36,33.33,6,0.41
NAVINFLUOR,-14.07,-1.51,22.14,-1.32,20.0,5,0.09
CIPLA,-14.29,-1.53,22.93,-0.93,37.5,8,0.31
VAKRANGEE,-14.39,-1.54,18.93,-1.71,16.67,6,0.14
CASTROLIND,-14.49,-1.55,42.38,-0.89,30.0,10,0.63
AMBUJACEM,-14.52,-1.56,19.11,-1.44,40.0,5,0.27
ORIENTCEM,-14.73,-1.58,22.73,-1.45,20.0,5,0.41
ITC,-15.32,-1.65,23.62,-1.57,25.0,4,0.18
ELGIEQUIP,-15.33,-1.65,16.18,-1.56,16.67,6,0.39
CHOLAFIN,-15.33,-1.65,22.09,-1.3,25.0,4,0.15
VENKEYS,-15.8,-1.71,23.66,-1.53,20.0,5,0.33
ATUL,-16.03,-1.73,32.8,-1.22,33.33,6,0.44
GPPL,-16.07,-1.74,16.07,-1.57,20.0,5,0.23
SCHAEFFLER,-16.08,-1.74,30.23,-1.27,33.33,9,0.55
GAIL,-16.2,-1.75,24.09,-1.23,20.0,5,0.28
EMAMILTD,-16.48,-1.79,22.06,-1.37,16.67,6,0.45
IDBI,-16.55,-1.79,32.6,-1.08,12.5,8,0.59
PFC,-16.55,-1.79,17.93,-1.4,20.0,5,0.23
HINDPETRO,-16.66,-1.81,27.85,-1.57,25.0,4,0.21
BASF,-16.85,-1.83,18.86,-2.81,0.0,3,
KSCL,-16.96,-1.84,29.07,-0.94,20.0,10,0.37
DISHTV,-17.22,-1.87,20.56,-1.76,20.0,5,0.18
POWERGRID,-17.35,-1.89,27.32,-1.35,20.0,5,0.35
WHIRLPOOL,-17.36,-1.89,29.13,-1.4,28.57,7,0.52
GESHIP,-17.81,-1.94,29.34,-1.4,14.29,7,0.24
EDELWEISS,-18.06,-1.97,30.06,-0.96,25.0,8,0.62
HUDCO,-18.07,-2.14,24.74,-2.01,25.0,4,0.04
CESC,-18.16,-1.99,20.4,-1.28,16.67,6,0.42
TNPL,-18.51,-2.03,20.67,-1.58,33.33,6,0.19
ICRA,-18.62,-2.04,30.53,-1.43,16.67,6,0.5
IFCI,-18.7,-2.05,22.2,-1.48,14.29,7,0.43
TVTODAY,-18.84,-2.07,24.19,-2.13,20.0,5,0.19
GSFC,-18.89,-2.07,19.47,-1.55,0.0,3,
TIMKEN,-18.94,-2.08,24.58,-1.61,28.57,7,0.17
TORNTPOWER,-18.98,-2.08,33.31,-1.15,25.0,8,0.59
NIACL,-19.04,-2.39,20.39,-2.71,0.0,4,
ICICIGI,-19.05,-2.36,19.62,-2.21,0.0,4,
QUESS,-19.13,-2.1,19.27,-1.99,0.0,4,
ZYDUSWELL,-19.23,-2.11,24.79,-1.55,42.86,7,0.08
JINDALSAW,-19.77,-2.18,20.5,-1.55,20.0,5,0.14
LICHSGFIN,-20.24,-2.24,24.21,-1.77,0.0,5,
FSL,-20.32,-2.25,23.92,-1.38,14.29,7,0.36
J&KBANK,-20.46,-2.26,20.46,-1.62,0.0,5,
INOXWIND,-20.47,-2.27,21.8,-2.49,0.0,3,
ABFRL,-20.52,-2.27,22.07,-1.43,20.0,5,0.07
IEX,-20.63,-2.59,23.67,-1.86,20.0,5,0.01
ZENSARTECH,-20.93,-2.32,27.59,-1.6,20.0,5,0.08
3MINDIA,-20.93,-2.32,34.27,-1.23,12.5,8,0.24
TATACHEM,-21.65,-2.41,29.43,-1.24,12.5,8,0.31
JKTYRE,-21.84,-2.44,32.35,-1.41,25.0,8,0.39
MAHLOG,-22.25,-2.84,26.71,-2.17,0.0,4,
DABUR,-22.39,-2.51,29.32,-1.49,0.0,6,
RCF,-22.52,-2.52,30.1,-1.51,20.0,5,0.04
DELTACORP,-22.57,-2.53,27.17,-1.94,20.0,5,0.06
AXISBANK,-22.81,-2.56,33.54,-1.17,14.29,7,0.27
JSWSTEEL,-22.96,-2.58,30.03,-1.4,16.67,6,0.24
CANFINHOME,-22.97,-2.58,27.01,-1.72,16.67,6,0.18
ACC,-22.99,-2.58,26.78,-1.38,16.67,6,0.26
NTPC,-23.05,-2.59,33.13,-1.41,16.67,6,0.15
ENGINERSIN,-23.45,-2.64,25.45,-1.51,0.0,6,
HIMATSEIDE,-23.84,-2.69,24.74,-2.11,20.0,5,0.17
JMFINANCIL,-23.85,-2.69,27.68,-1.45,37.5,8,0.26
CRISIL,-23.98,-2.71,26.76,-1.67,14.29,7,0.34
