entry_date,exit_date,entry_price,exit_price,return_pct,holding_days,symbol,return_pct_net
2017-05-31,2018-12-05,12669.4501953125,20299.26171875,0.6022212018529748,553,3MINDIA,0.5996212018529747
2019-03-20,2019-08-13,21465.091796875,19425.27734375,-0.09502938410083887,146,3MINDIA,-0.09762938410083888
2020-02-10,2020-03-23,22584.3984375,14548.5947265625,-0.35581216533952675,42,3MINDIA,-0.35841216533952674
2020-08-27,2020-10-07,19230.365234375,16961.572265625,-0.11797971287068679,41,3MINDIA,-0.12057971287068679
2020-11-27,2022-01-24,20024.400390625,22292.828125,0.11328317902777403,423,3MINDIA,0.11068317902777403
2022-08-29,2024-04-19,21265.046875,28245.19140625,0.32824496330906866,599,3MINDIA,0.32564496330906867
2024-06-21,2024-12-11,36153.85546875,30637.734375,-0.15257352285755313,173,3MINDIA,-0.15517352285755312
2025-08-13,2026-05-11,30059.666015625,31227.748046875,0.03885878275037492,271,3MINDIA,0.036258782750374925
2017-03-15,2017-12-04,1041.77783203125,1194.853271484375,0.14693674096967466,264,ABB,0.14433674096967467
2018-01-24,2018-04-19,1439.841796875,1078.9423828125,-0.25065213056447444,85,ABB,-0.25325213056447443
2018-10-29,2019-02-28,1066.475830078125,1063.2698974609375,-0.003006099647802284,122,ABB,-0.005606099647802284
2019-04-15,2019-09-30,1233.32568359375,1317.75146484375,0.06845376073252143,168,ABB,0.06585376073252143
2019-10-07,2020-01-20,1274.619140625,1236.21484375,-0.03013001739183733,105,ABB,-0.03273001739183733
2020-12-01,2024-12-24,1095.9007568359375,6716.5634765625,5.128806312676,1484,ABB,5.126206312676
2017-05-12,2018-03-07,1532.78125,1446.5181884765625,-0.05627878180492976,299,ACC,-0.05887878180492976
2018-09-28,2018-11-26,1440.8544921875,1335.7384033203125,-0.07295399322911549,59,ACC,-0.07555399322911549
2019-01-09,2019-02-12,1349.70751953125,1276.1495361328125,-0.05449920248201922,34,ACC,-0.05709920248201922
2019-03-28,2019-10-10,1515.9271240234375,1333.2996826171875,-0.12047244126191017,196,ACC,-0.12307244126191018
2020-08-13,2022-02-23,1323.0614013671875,2056.480712890625,0.5543350526026665,559,ACC,0.5517350526026664
2022-06-29,2022-06-30,2117.34912109375,2084.634765625,-0.015450619429190253,1,ACC,-0.018050619429190253
2022-08-24,2023-02-16,2261.174560546875,1809.2640380859375,-0.19985653931629274,176,ACC,-0.20245653931629273
2023-09-22,2024-09-23,1953.634521484375,2462.058349609375,0.2602451085573051,367,ACC,0.2576451085573051
2017-12-14,2018-04-16,1517.0986328125,1370.175048828125,-0.09684511000579978,123,AIAENG,-0.09944511000579978
2018-05-24,2019-09-05,1495.1458740234375,1457.5794677734375,-0.025125579318162984,469,AIAENG,-0.027725579318162982
2020-02-13,2020-04-08,1770.8297119140625,1229.73876953125,-0.30555786292853404,55,AIAENG,-0.30815786292853403
2020-07-08,2021-11-18,1611.5810546875,1859.0928955078125,0.15358324057011657,498,AIAENG,0.15098324057011658
2022-06-08,2024-11-22,2134.403076171875,3397.182861328125,0.5916313555081117,898,AIAENG,0.5890313555081117
