Symbol,Total Return %,CAGR %,Max Drawdown %,Sharpe,Win Rate %,Trades,Profit Factor
LINDEINDIA,529.5,17.19,60.75,0.44,42.86,7,10.06
ABB,526.61,17.14,40.57,0.5,42.86,7,13.58
CAPLIPOINT,524.14,17.1,42.7,0.44,50.0,8,7.53
INOXWIND,522.67,17.52,53.61,0.45,50.0,4,10.18
DCMSHRIRAM,522.06,17.07,52.96,0.43,66.67,9,11.47
COROMANDEL,504.01,16.77,33.52,0.47,62.5,8,11.8
VENKEYS,501.46,16.73,66.42,0.43,40.0,5,9.4
PTC,500.21,16.71,43.84,0.45,60.0,5,9.36
ASTRAZEN,496.9,16.65,33.8,0.44,60.0,5,24.89
IPCALAB,471.63,16.22,26.97,0.47,60.0,5,12.0
TATAINVEST,471.36,16.22,54.32,0.42,50.0,8,6.59
HINDALCO,471.15,16.21,58.76,0.44,50.0,6,5.88
NCC,470.19,16.2,56.96,0.42,60.0,5,9.18
FINCABLES,448.15,15.8,39.38,0.43,60.0,5,8.66
PHOENIXLTD,447.94,15.8,47.65,0.41,80.0,5,15.0
TATAPOWER,437.63,15.61,35.79,0.44,37.5,8,9.45
JSWSTEEL,437.18,15.6,64.44,0.43,37.5,8,5.43
HUDCO,437.01,20.0,45.43,0.52,40.0,5,13.25
IOC,435.01,15.56,36.94,0.47,80.0,5,12.24
GLENMARK,430.5,15.47,35.43,0.44,75.0,4,212.69
GUJALKALI,429.79,15.46,53.96,0.4,80.0,5,18.85
NH,428.22,17.03,40.1,0.47,50.0,6,24.97
INDHOTEL,424.17,15.36,45.48,0.41,16.67,6,18.16
VINATIORGA,422.74,15.33,36.09,0.42,50.0,6,11.21
BHEL,419.09,15.26,59.41,0.4,30.0,10,5.26
HINDPETRO,414.19,15.16,42.04,0.41,80.0,5,16.96
MANAPPURAM,407.72,15.04,63.98,0.38,71.43,7,8.58
SIEMENS,407.33,15.03,40.36,0.43,50.0,6,15.53
DIVISLAB,406.28,15.01,48.21,0.42,40.0,5,9.26
BRIGADE,402.3,14.93,52.68,0.39,62.5,8,8.1
KTKBANK,381.56,14.51,42.2,0.39,33.33,6,7.09
BDL,380.4,20.61,42.21,0.52,50.0,4,66.96
VMART,378.44,14.45,61.94,0.37,25.0,12,5.38
RCF,378.12,14.44,41.74,0.37,57.14,7,12.54
EXIDEIND,373.12,14.34,32.74,0.43,80.0,5,15.71
SOUTHBANK,371.54,14.31,41.04,0.37,50.0,6,11.18
ZENSARTECH,369.16,14.26,45.3,0.37,50.0,6,8.54
NLCINDIA,367.03,14.21,47.41,0.37,40.0,5,9.03
JKCEMENT,366.04,14.19,42.56,0.39,83.33,6,10.43
BAJAJHLDNG,356.41,13.99,36.2,0.38,83.33,6,11.06
HINDCOPPER,354.37,13.94,75.9,0.35,33.33,6,3.77
GODREJPROP,348.06,13.81,52.09,0.36,50.0,6,8.6
VGUARD,347.09,13.78,29.82,0.38,80.0,5,183.27
JINDALSTEL,337.7,13.58,73.46,0.35,57.14,7,4.63
JISLJALEQS,336.86,13.56,49.3,0.34,57.14,7,6.35
APLAPOLLO,333.46,13.48,49.32,0.35,42.86,7,9.02
KPRMILL,332.46,13.46,59.79,0.35,50.0,6,6.59
TRIDENT,330.34,13.41,69.54,0.34,42.86,7,8.18
IOB,328.62,13.37,39.28,0.34,50.0,4,14.49
NBCC,328.24,13.36,64.09,0.34,50.0,6,6.1
NAUKRI,326.88,13.33,44.99,0.34,66.67,6,10.95
CHAMBLFERT,324.86,13.28,56.39,0.34,42.86,7,6.03
NHPC,324.07,13.27,44.97,0.35,25.0,8,8.41
SUNDRMFAST,312.08,12.99,49.35,0.35,50.0,6,5.88
TATASTEEL,312.03,12.99,65.07,0.34,50.0,6,4.56
FLFL,310.41,12.95,32.78,0.35,25.0,4,34.55
SJVN,308.86,12.91,45.07,0.33,75.0,4,13.27
MRPL,307.07,12.87,55.25,0.32,57.14,7,6.07
OBEROIRLTY,301.43,12.73,40.03,0.32,55.56,9,7.03
NFL,297.29,12.63,54.77,0.32,42.86,7,4.61
UNIONBANK,297.25,12.63,52.12,0.32,57.14,7,6.29
TIINDIA,294.28,16.95,54.18,0.43,60.0,5,10.36
CYIENT,294.26,12.56,49.68,0.33,66.67,6,7.15
POWERGRID,294.05,12.55,38.78,0.35,60.0,5,11.51
TRITURBINE,293.96,12.55,44.9,0.32,66.67,6,8.53
SRF,288.0,12.4,49.71,0.32,37.5,8,9.82
COCHINSHIP,286.01,16.21,63.1,0.41,60.0,5,10.53
REDINGTON,284.82,12.32,57.31,0.31,62.5,8,4.23
TORNTPHARM,278.96,12.17,29.88,0.33,66.67,6,8.07
MAHABANK,278.1,12.15,53.04,0.3,40.0,5,4.59
BLUESTARCO,276.29,12.1,52.77,0.31,42.86,7,5.95
BALKRISIND,275.98,12.1,56.55,0.31,37.5,8,5.38
PERSISTENT,266.57,11.85,55.24,0.3,28.57,7,5.13
CANBK,265.82,11.83,56.41,0.29,66.67,6,6.64
GODREJIND,260.05,11.68,40.86,0.29,60.0,5,7.31
SONATSOFTW,259.74,11.67,64.39,0.29,50.0,8,5.61
APOLLOHOSP,257.62,11.61,39.42,0.29,71.43,7,6.43
GHCL,254.61,11.53,46.55,0.29,42.86,7,6.78
OFSS,253.9,11.51,45.6,0.3,57.14,7,7.68
BANKBARODA,251.6,11.45,41.47,0.29,60.0,5,14.56
IRCON,250.76,17.32,47.72,0.43,20.0,5,10.9
UFLEX,242.36,11.2,47.52,0.27,60.0,5,10.38
BHARTIARTL,241.35,11.17,36.81,0.28,66.67,6,14.57
SHILPAMED,238.44,11.08,57.8,0.27,50.0,6,4.32
INDIGO,237.88,12.0,32.38,0.31,71.43,7,20.54
INTELLECT,235.69,11.01,56.54,0.27,50.0,6,5.26
HAVELLS,231.87,10.9,42.51,0.27,80.0,5,10.36
COALINDIA,231.73,10.89,42.97,0.27,40.0,5,8.89
WELCORP,231.22,10.88,83.72,0.28,57.14,7,3.14
TITAN,224.73,10.69,46.14,0.26,44.44,9,2.84
JSWENERGY,223.99,10.67,50.11,0.26,33.33,9,4.91
BAJAJCON,222.73,10.63,26.41,0.26,50.0,6,2.91
BIOCON,218.16,10.49,42.68,0.25,50.0,8,4.74
GRASIM,217.74,10.48,35.95,0.26,37.5,8,5.35
APOLLOTYRE,212.23,10.32,37.46,0.25,80.0,5,12.54
TEAMLEASE,212.12,11.47,50.39,0.29,50.0,6,6.75
BAJAJ-AUTO,211.54,10.29,52.84,0.25,71.43,7,4.53
KIOCL,210.34,12.41,48.97,0.31,50.0,4,9.66
ASTERDM,209.03,14.3,52.96,0.37,80.0,5,6.74
MINDACORP,205.27,10.1,62.43,0.25,50.0,8,3.79
BHARATFORG,204.24,10.07,64.64,0.24,66.67,6,2.78
RELAXO,203.73,10.05,39.13,0.24,50.0,6,8.99
GRANULES,201.42,9.98,48.45,0.24,37.5,8,3.2
BAJFINANCE,201.32,9.98,60.44,0.24,57.14,7,5.69
BAJAJFINSV,200.66,9.96,56.68,0.23,50.0,8,4.23
CARBORUNIV,200.41,9.95,58.56,0.23,50.0,8,4.56
NTPC,198.84,9.9,41.49,0.23,33.33,9,7.13
SUPREMEIND,195.73,9.8,42.68,0.23,57.14,7,4.48
BANKINDIA,193.73,9.74,54.15,0.23,83.33,6,9.39
PRESTIGE,187.34,9.53,61.67,0.24,42.86,7,4.38
ITI,186.79,9.51,66.94,0.26,27.27,11,3.73
SAIL,186.18,9.49,74.63,0.23,50.0,6,3.95
LTTS,185.96,11.23,46.79,0.28,33.33,9,3.7
AVANTIFEED,183.33,9.4,76.27,0.23,30.0,10,4.59
BBTC,182.27,9.36,67.13,0.22,25.0,8,4.36
RPOWER,181.31,9.33,71.82,0.24,33.33,6,4.18
GAYAPROJ,180.14,9.29,60.16,0.22,44.44,9,1.53
ICICIBANK,178.7,9.24,48.31,0.2,60.0,5,29.52
JUBLFOOD,178.24,9.22,54.4,0.2,42.86,7,5.05
LALPATHLAB,175.8,10.02,53.55,0.23,42.86,7,5.17
LUPIN,175.56,9.13,29.26,0.2,40.0,5,8.4
GAIL,174.28,9.09,37.55,0.2,37.5,8,5.32
FINPIPE,174.18,9.09,52.62,0.2,60.0,5,4.09
CESC,174.05,9.08,49.7,0.2,37.5,8,4.62
TORNTPOWER,173.45,9.06,39.46,0.2,50.0,8,5.0
MFSL,168.45,8.89,53.95,0.2,66.67,6,8.02
WOCKPHARMA,167.47,8.85,75.53,0.22,40.0,5,5.35
RELIANCE,165.79,8.79,45.57,0.18,71.43,7,4.94
GSFC,162.85,8.69,43.01,0.2,60.0,5,4.94
M&M,162.61,8.68,36.42,0.18,55.56,9,4.76
SUPRAJIT,160.96,8.62,55.17,0.19,75.0,8,3.85
LT,159.83,8.58,31.7,0.17,44.44,9,5.0
EIDPARRY,156.87,8.47,59.11,0.19,60.0,5,4.65
EICHERMOT,156.15,8.45,44.13,0.17,50.0,6,1.53
GESHIP,154.21,8.38,70.4,0.18,33.33,9,3.01
CHOLAHLDNG,150.46,8.24,61.46,0.16,42.86,7,3.54
THERMAX,148.84,8.18,43.33,0.17,42.86,7,5.25
ASTRAL,148.1,8.15,49.52,0.17,55.56,9,4.14
CARERATING,147.45,8.13,41.44,0.15,60.0,5,7.62
LUXIND,146.13,8.8,52.6,0.19,60.0,5,4.72
VIPIND,145.65,8.06,70.76,0.18,30.0,10,3.65
TIMKEN,145.25,8.04,60.11,0.17,42.86,7,4.86
VRLLOG,145.1,8.28,44.31,0.17,33.33,6,6.38
PIDILITIND,144.45,8.01,44.32,0.14,44.44,9,4.03
CHOLAFIN,136.86,7.72,68.85,0.17,40.0,5,5.74
PAGEIND,136.19,7.69,53.62,0.14,42.86,7,4.09
RBLBANK,135.36,9.0,53.54,0.2,50.0,4,2.37
ATUL,130.64,7.47,64.04,0.13,28.57,7,4.17
PFIZER,130.59,7.47,33.96,0.12,33.33,6,5.45
VOLTAS,129.15,7.41,41.11,0.13,50.0,6,4.71
MRF,126.0,7.28,33.9,0.11,71.43,7,23.54
SPTL,124.63,10.96,64.38,0.27,100.0,1,999.99
AJANTPHARM,123.91,7.2,57.09,0.12,50.0,6,2.94
EIHOTEL,122.71,7.15,36.59,0.14,50.0,8,3.55
SUNDARMFIN,122.69,7.15,37.48,0.11,42.86,7,3.49
TCS,122.41,7.14,28.37,0.09,50.0,6,5.62
TATACHEM,119.67,7.02,56.2,0.12,22.22,9,3.32
ERIS,116.25,8.84,33.12,0.18,60.0,5,4.77
HEROMOTOCO,116.14,6.87,28.79,0.08,62.5,8,5.38
JETAIRWAYS,115.29,6.84,67.47,0.13,50.0,8,4.63
AUROPHARMA,115.06,6.83,37.0,0.09,33.33,6,3.54
ALKEM,114.36,7.44,25.37,0.11,66.67,6,7.2
PNCINFRA,113.69,7.01,45.19,0.13,60.0,5,5.26
WIPRO,113.08,6.74,42.04,0.07,57.14,7,4.8
PIIND,112.25,6.7,49.9,0.1,28.57,7,4.32
SCI,111.79,6.68,57.49,0.17,40.0,5,2.45
MARICO,110.41,6.62,25.96,0.07,55.56,9,6.8
HERITGFOOD,109.7,6.59,43.21,0.1,50.0,4,5.53
ONGC,109.67,6.59,51.19,0.09,66.67,6,3.98
SBIN,109.4,6.58,54.57,0.09,50.0,8,2.97
SUNPHARMA,108.26,6.53,48.57,0.06,33.33,6,3.32
GRINDWELL,107.75,6.51,53.47,0.09,25.0,8,3.1
IEX,107.73,8.67,61.7,0.2,33.33,6,4.67
MMTC,106.9,6.47,63.3,0.15,50.0,6,3.27
DBL,106.78,7.55,35.96,0.15,50.0,4,5.85
SHARDACROP,106.18,6.44,46.89,0.14,62.5,8,4.1
THYROCARE,106.05,7.31,73.71,0.31,60.0,5,5.63
PNBHOUSING,105.11,7.65,51.96,0.17,60.0,5,3.14
HDFCBANK,103.53,6.32,33.93,0.03,87.5,8,6.06
CERA,101.85,6.24,48.56,0.07,57.14,7,3.48
DLF,101.74,6.24,62.03,0.12,37.5,8,2.78
PRAJIND,101.48,6.23,54.89,0.14,28.57,7,4.61
ASHOKA,100.28,6.17,47.06,0.12,42.86,7,3.16
HCLTECH,97.57,6.05,36.78,0.06,66.67,6,3.57
GULFOILLUB,96.82,6.01,33.5,0.04,25.0,8,4.87
DCBBANK,96.72,6.01,42.15,0.09,44.44,9,2.49
MAHSCOOTER,95.2,5.94,35.43,0.07,83.33,6,6.83
ABCAPITAL,92.2,7.59,56.96,0.15,60.0,5,1.74
ZYDUSWELL,91.99,5.79,37.0,0.05,85.71,7,6.57
ITC,91.24,5.75,43.25,0.01,37.5,8,4.95
LEMONTREE,88.75,7.93,39.15,0.18,42.86,7,3.38
FORTIS,87.05,5.55,62.45,0.08,18.18,11,2.86
CUB,86.43,5.52,65.15,0.08,40.0,5,2.3
SUNTV,85.89,5.49,41.34,0.07,57.14,7,3.8
RENUKA,85.77,5.49,55.91,0.12,42.86,7,3.84
STARCEMENT,84.86,6.96,36.36,0.11,75.0,4,7.63
IFBIND,84.4,5.42,68.9,0.1,42.86,7,2.87
IFCI,84.26,5.41,69.84,0.16,25.0,8,2.91
HONAUT,84.17,5.41,52.49,0.05,22.22,9,3.23
LICHSGFIN,81.76,5.29,40.08,0.02,42.86,7,3.27
CCL,81.64,5.28,42.29,0.06,57.14,7,2.34
AIAENG,79.33,5.17,51.92,0.04,50.0,6,2.4
JYOTHYLAB,77.92,5.09,45.92,0.03,33.33,9,2.67
BERGEPAINT,77.9,5.09,39.61,0.01,50.0,8,3.45
BLISSGVS,76.89,5.04,70.6,0.12,44.44,9,0.58
BPCL,76.81,5.04,57.09,0.03,50.0,8,2.75
JKTYRE,76.73,5.03,74.47,0.09,44.44,9,2.46
MHRIL,76.43,5.02,53.95,0.03,50.0,6,2.83
PGHH,76.16,5.0,23.87,-0.05,42.86,7,4.76
DRREDDY,75.89,4.99,31.29,-0.02,30.0,10,3.04
SHOPERSTOP,75.52,4.97,52.38,0.06,28.57,7,3.06
RELCAPITAL,75.49,5.72,61.19,0.1,80.0,5,5.92
BALRAMCHIN,75.3,4.96,64.92,0.08,60.0,5,3.07
TECHM,75.28,4.96,48.03,0.02,33.33,9,2.55
ADANIPORTS,74.62,4.92,65.07,0.07,33.33,9,2.03
NATCOPHARM,74.34,4.91,54.63,0.05,50.0,8,2.84
UBL,73.72,4.88,28.47,-0.01,42.86,7,3.07
BALMLAWRIE,71.17,4.74,52.53,0.04,42.86,7,2.72
RITES,70.05,6.78,42.42,0.14,40.0,5,4.14
STAR,68.05,4.58,66.37,0.12,42.86,7,2.41
SCHAEFFLER,66.98,4.52,57.15,-0.01,22.22,9,3.16
THOMASCOOK,66.98,4.52,50.37,0.05,50.0,8,2.6
JAGRAN,66.62,4.5,31.27,-0.01,40.0,5,7.8
HINDUNILVR,66.45,4.49,42.22,-0.06,20.0,10,3.23
ENGINERSIN,66.25,4.48,50.52,0.05,28.57,7,2.9
BAJAJELEC,65.91,4.46,65.08,0.04,37.5,8,2.66
ICICIGI,65.66,5.86,42.29,0.06,50.0,6,5.89
BRITANNIA,65.48,4.44,42.8,-0.05,33.33,9,3.51
MPHASIS,65.01,4.41,53.85,-0.03,20.0,5,3.71
BIRLACORPN,63.38,4.32,58.04,0.02,50.0,6,2.67
AMBUJACEM,59.74,4.12,48.28,-0.02,37.5,8,2.85
NMDC,59.42,4.1,58.43,0.03,33.33,9,1.75
KNRCON,57.4,3.99,64.39,0.01,25.0,8,2.41
NESCO,56.78,3.95,56.11,0.0,37.5,8,2.78
EDELWEISS,56.74,3.95,77.72,0.09,22.22,9,3.37
INDUSINDBK,56.27,3.92,45.17,-0.05,57.14,7,2.34
RAIN,56.05,3.91,89.35,0.09,20.0,10,3.19
BEML,55.06,3.85,64.01,0.07,37.5,8,2.36
DBCORP,54.59,3.83,46.27,0.01,37.5,8,2.8
SYNGENE,52.72,3.93,33.11,-0.07,50.0,8,2.85
VARROC,52.02,5.32,49.86,0.08,40.0,5,2.12
DMART,49.62,4.39,42.56,-0.01,50.0,6,3.84
KEC,47.3,3.4,67.54,0.02,37.5,8,2.35
HIMATSEIDE,45.59,3.29,50.8,0.02,66.67,6,2.78
APLLTD,45.26,3.27,51.88,-0.05,33.33,6,2.31
BOSCHLTD,44.92,3.25,44.42,-0.1,33.33,6,2.94
INDIACEM,44.89,3.25,59.94,0.05,50.0,10,1.9
GODFRYPHLP,44.31,3.21,65.93,0.06,40.0,10,2.22
SUNTECK,44.16,3.2,55.24,0.01,40.0,10,2.63
CENTRALBK,43.08,3.14,71.39,-0.0,57.14,7,2.75
CREDITACC,42.85,4.58,37.06,0.01,60.0,5,2.62
DELTACORP,41.64,3.05,73.67,0.05,45.45,11,1.97
HDFCAMC,41.53,4.44,31.87,-0.05,50.0,4,4.04
GILLETTE,41.04,3.01,35.36,-0.17,37.5,8,2.22
PETRONET,38.78,2.87,64.3,-0.06,27.27,11,2.25
AAVAS,37.84,4.18,40.62,-0.04,50.0,4,2.95
INFY,37.79,2.8,47.51,-0.13,25.0,8,2.13
SUZLON,37.56,2.79,68.52,0.06,22.22,9,3.07
GALAXYSURF,37.05,3.78,47.37,-0.04,33.33,6,2.35
GICRE,36.56,3.61,55.62,0.07,40.0,5,3.35
ORIENTCEM,36.3,2.71,63.07,-0.02,28.57,7,2.09
IDFCFIRSTB,36.23,2.92,47.84,-0.08,33.33,6,2.04
CEATLTD,33.54,2.53,50.83,-0.03,50.0,8,2.0
SANOFI,31.84,2.41,47.69,-0.15,50.0,6,2.2
COLPAL,31.61,2.4,42.03,-0.2,50.0,8,2.25
VTL,27.67,2.13,60.46,-0.06,37.5,8,1.61
J&KBANK,26.33,2.04,76.77,0.05,40.0,5,2.01
MOIL,25.56,1.98,66.14,-0.02,37.5,8,1.97
PNB,21.56,1.7,75.79,-0.06,57.14,7,2.49
BATAINDIA,20.16,1.6,60.6,-0.17,25.0,8,2.02
QUESS,19.21,1.76,66.6,-0.11,66.67,3,2.03
ORIENTELEC,18.94,2.13,40.45,-0.2,25.0,4,2.31
CENTURYPLY,18.51,1.48,60.33,-0.07,33.33,9,2.48
FDC,17.66,1.41,48.07,-0.12,37.5,8,2.06
GPPL,17.65,1.41,64.63,-0.1,37.5,8,1.84
UPL,16.33,1.31,51.64,-0.15,42.86,7,1.65
AXISBANK,16.31,1.31,40.75,-0.17,37.5,8,1.47
UCOBANK,12.71,1.04,72.58,-0.1,12.5,8,2.58
SBILIFE,11.82,1.27,46.99,-0.18,60.0,5,1.69
GODREJCP,11.79,0.97,51.16,-0.19,66.67,9,1.5
TNPL,11.16,0.92,39.64,-0.18,50.0,6,1.26
RALLIS,11.09,0.91,45.2,-0.11,37.5,8,1.53
ASIANPAINT,9.64,0.8,55.32,-0.24,42.86,7,1.49
ENDURANCE,8.42,0.83,43.63,-0.18,40.0,5,1.32
TAKE,8.23,0.68,60.58,-0.09,40.0,5,1.81
MGL,7.49,0.72,47.96,-0.15,33.33,6,1.46
CROMPTON,7.36,0.7,35.02,-0.21,50.0,6,1.72
RAJESHEXPO,7.23,0.6,52.92,-0.26,50.0,4,1.5
ACC,6.88,0.58,47.32,-0.23,22.22,9,1.44
INDOSTAR,6.59,0.78,41.59,-0.05,50.0,4,2.04
3MINDIA,6.54,0.55,62.17,-0.19,50.0,8,1.47
JKPAPER,5.63,0.47,69.56,-0.08,16.67,6,2.45
VSTIND,4.89,0.41,57.68,-0.19,20.0,10,1.92
ADVENZYMES,4.45,0.44,55.54,-0.13,33.33,6,2.16
MARUTI,3.62,0.31,67.86,-0.25,55.56,9,1.58
BLUEDART,3.38,0.29,54.66,-0.25,28.57,7,1.87
MASFIN,2.77,0.31,61.79,-0.11,40.0,5,1.31
FCONSUMER,1.86,0.16,65.43,-0.19,33.33,3,1.94
JMFINANCIL,1.85,0.16,75.2,-0.04,33.33,9,2.0
GLAXO,1.75,0.15,42.93,-0.26,25.0,8,1.38
ASHOKLEY,0.61,0.05,72.37,-0.12,75.0,8,1.64
SHK,-0.8,-0.07,59.56,-0.13,28.57,7,1.48
FINEORG,-1.74,-0.22,61.39,-0.16,20.0,5,1.0
CRISIL,-2.15,-0.19,51.74,-0.2,25.0,8,1.35
DABUR,-3.23,-0.28,44.52,-0.33,37.5,8,1.14
CANFINHOME,-5.01,-0.44,52.25,-0.16,42.86,7,1.17
CIPLA,-7.38,-0.66,44.77,-0.32,22.22,9,1.1
HATSUN,-7.43,-0.66,53.17,-0.27,28.57,7,1.63
CONCOR,-7.85,-0.7,53.99,-0.26,33.33,9,1.2
WHIRLPOOL,-8.08,-0.72,69.47,-0.22,25.0,8,1.36
ULTRACEMCO,-9.96,-0.9,70.51,-0.28,30.0,10,1.3
RAMCOCEM,-10.36,-0.94,46.09,-0.35,57.14,7,1.02
MAHLOG,-10.79,-1.3,65.13,-0.22,33.33,6,0.85
PCJEWELLER,-11.18,-1.02,91.71,-0.03,33.33,9,2.82
SFL,-11.19,-1.22,56.48,-0.34,42.86,7,1.27
NIACL,-11.64,-1.41,58.54,-0.09,50.0,4,1.37
YESBANK,-13.14,-1.21,68.79,-0.19,25.0,8,1.33
DCAL,-17.1,-1.6,63.18,-0.1,25.0,8,1.15
ICRA,-17.44,-1.64,56.91,-0.34,10.0,10,1.19
AUBANK,-17.76,-2.13,70.15,-0.17,16.67,6,0.54
COFFEEDAY,-20.26,-2.08,66.67,-0.02,37.5,8,0.62
NILKAMAL,-20.53,-1.96,54.64,-0.48,12.5,8,1.03
TTKPRESTIG,-20.76,-1.99,60.62,-0.39,16.67,6,0.78
KOTAKBANK,-21.14,-2.03,48.28,-0.4,36.36,11,0.73
NETWORK18,-21.76,-2.09,62.5,-0.11,33.33,6,1.01
REPCOHOME,-21.93,-2.11,59.65,-0.23,33.33,9,1.15
TVTODAY,-21.98,-2.12,51.61,-0.24,40.0,5,0.59
KOLTEPATIL,-22.32,-2.15,63.02,-0.13,42.86,7,1.15
RUPA,-22.89,-2.22,65.8,-0.21,28.57,7,1.55
SHREECEM,-23.59,-2.29,52.52,-0.36,45.45,11,0.75
IDEA,-23.87,-2.32,63.86,-0.1,33.33,6,0.34
IGL,-25.33,-2.49,60.72,-0.35,20.0,5,0.64
JUSTDIAL,-25.33,-2.49,61.91,-0.19,33.33,6,0.91
GODREJAGRO,-27.06,-3.52,53.64,-0.42,33.33,6,0.81
RELINFRA,-27.53,-2.74,71.11,-0.06,30.0,10,1.59
HDFCLIFE,-27.83,-3.67,50.32,-0.44,33.33,6,0.08
RHFL,-28.27,-3.67,74.6,-0.17,25.0,4,1.23
EMAMILTD,-29.01,-2.91,51.0,-0.48,12.5,8,0.7
KAJARIACER,-29.45,-2.96,55.01,-0.4,25.0,8,1.07
ITDC,-32.01,-3.94,75.21,-0.17,33.33,6,1.05
HEIDELBERG,-32.83,-3.37,56.16,-0.33,36.36,11,0.78
CASTROLIND,-33.15,-3.41,70.36,-0.38,10.0,10,0.8
KANSAINER,-33.47,-3.45,60.79,-0.52,25.0,8,0.74
JKLAKSHMI,-33.9,-3.51,71.12,-0.33,36.36,11,1.01
HATHWAY,-35.64,-3.73,64.11,-0.3,14.29,7,0.45
PRSMJOHNSN,-35.64,-3.73,64.82,-0.29,20.0,10,1.11
SIS,-36.35,-4.9,56.92,-0.44,33.33,6,0.21
PARAGMILK,-36.48,-4.34,67.95,-0.24,42.86,7,0.91
M&MFIN,-36.68,-3.86,75.17,-0.25,50.0,8,1.07
IRB,-37.83,-4.01,78.46,-0.17,33.33,12,0.94
ALLCARGO,-38.98,-4.17,76.15,-0.27,20.0,10,1.33
FRETAIL,-39.57,-4.94,55.01,-1.15,0.0,2,
SKFINDIA,-39.83,-4.29,74.27,-0.29,33.33,9,1.14
SPARC,-40.14,-4.33,63.07,-0.24,28.57,7,0.29
ABFRL,-41.62,-4.53,66.09,-0.34,28.57,7,0.72
BANDHANBNK,-44.94,-6.89,57.46,-0.58,0.0,7,
KSCL,-45.15,-5.05,77.93,-0.33,36.36,11,0.86
