Symbol,Total Return %,CAGR %,Max Drawdown %,Sharpe,Win Rate %,Trades,Profit Factor
HEG,6130.06,42.8,57.98,0.91,75.0,4,626.86
BSE,5418.27,52.49,45.18,1.14,50.0,2,13.24
ADANIGREEN,4787.16,61.28,49.3,1.24,75.0,4,78.71
JSL,3836.77,37.26,56.8,0.86,80.0,5,32.49
HSCL,2714.62,33.34,66.89,0.82,50.0,10,17.98
CGPOWER,2395.92,31.97,51.9,0.84,16.67,6,68.76
GRAPHITE,2394.71,31.96,35.86,0.8,60.0,5,40.55
GNFC,2315.49,31.6,40.24,0.79,100.0,3,999.99
KEI,2244.32,31.26,65.22,0.76,40.0,5,23.25
KIRLOSENG,2147.01,30.78,32.14,0.85,60.0,5,31.17
ADANIPOWER,2093.65,30.51,64.7,0.69,66.67,6,13.15
LAURUSLABS,2047.71,37.5,55.56,1.03,33.33,3,16.27
RADICO,1973.94,29.88,46.17,0.74,60.0,5,21.57
GMDCLTD,1936.96,29.68,42.63,0.71,100.0,3,999.99
MUTHOOTFIN,1831.56,29.09,44.85,0.75,100.0,4,999.99
RKFORGE,1689.2,28.24,37.38,0.8,100.0,3,999.99
DEEPAKNTR,1622.17,27.81,46.04,0.71,57.14,7,17.04
TRENT,1563.0,27.43,50.23,0.73,83.33,6,41.94
JBCHEPHARM,1538.06,27.37,33.87,0.8,75.0,4,34.12
DEEPAKFERT,1419.3,26.44,53.14,0.65,60.0,5,16.03
BEL,1339.63,25.86,25.73,0.75,100.0,5,999.99
NATIONALUM,1203.9,24.78,43.98,0.63,66.67,6,18.31
DIXON,1197.94,33.45,46.57,0.88,50.0,6,14.19
HFCL,1145.06,24.29,57.42,0.59,37.5,8,8.77
CUMMINSIND,941.4,22.39,26.48,0.72,40.0,5,40.97
VEDL,887.85,21.83,65.52,0.6,60.0,5,22.77
PGHL,885.09,21.8,26.19,0.62,100.0,4,999.99
JINDALSAW,865.03,21.59,76.24,0.54,66.67,6,10.54
CHENNPETRO,829.46,21.2,49.95,0.53,66.67,6,9.21
TIMETECHNO,779.98,20.63,40.41,0.53,42.86,7,11.37
INDIANB,771.37,20.52,72.97,0.52,37.5,8,10.63
RECLTD,728.23,20.0,43.86,0.57,66.67,6,20.94
KARURVYSYA,726.13,19.97,32.38,0.58,66.67,6,13.87
SUDARSCHEM,719.86,19.89,40.85,0.5,50.0,6,21.36
TATAELXSI,697.79,19.61,53.5,0.55,42.86,7,23.63
HAL,687.98,28.05,54.13,0.77,33.33,3,25.5
JAMNAAUTO,686.17,19.46,31.6,0.52,100.0,3,999.99
BASF,674.39,19.3,43.65,0.53,75.0,4,19.99
ESCORTS,642.28,18.87,52.88,0.5,50.0,8,14.09
ELGIEQUIP,638.69,18.82,42.26,0.48,50.0,8,10.61
WABAG,632.98,18.74,40.83,0.5,40.0,5,13.01
MAHSEAMLES,629.12,18.68,49.76,0.52,50.0,6,24.42
FSL,622.84,18.6,49.51,0.48,42.86,7,7.75
BOMDYEING,617.67,18.52,46.53,0.46,50.0,6,10.97
NAVINFLUOR,613.05,18.46,45.28,0.51,16.67,6,7.89
HINDZINC,606.31,18.36,42.42,0.5,62.5,8,15.75
RAYMOND,603.73,18.32,44.36,0.47,50.0,4,16.8
TVSMOTOR,603.67,18.32,50.44,0.55,80.0,5,11.7
SUVEN,601.58,18.29,68.79,0.45,42.86,7,9.55
OIL,588.2,18.1,50.09,0.5,66.67,6,35.46
SOLARINDS,571.98,17.85,55.42,0.5,42.86,7,8.72
SOBHA,570.45,17.83,39.4,0.46,50.0,6,14.0
VBL,563.9,21.44,34.18,0.64,100.0,2,999.99
FEDERALBNK,541.39,17.38,26.15,0.51,80.0,5,24.42
CDSL,539.19,22.6,54.29,0.61,40.0,5,18.48
PFC,536.84,17.31,45.59,0.47,60.0,5,23.07
